Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.8688,0.9853008833333332,0.8677051678385238,0.8688,0.867860121636171,0.9489,0.9791,0.994,0.9987,0.9998
0.8761,0.9874576888888886,0.8755940247907882,0.8760999999999999,0.8752712823259842,0.955,0.9829,0.9961,0.999,0.9999
0.8811,0.9883169166666667,0.8795210712516205,0.8811,0.8796228401267137,0.958,0.9845,0.9964,0.9991,0.9999
0.883,0.9889355,0.8825549805171322,0.883,0.882487698044905,0.9613,0.9882,0.997,0.9991,1.0
0.8846,0.9894260777777778,0.8859771188355274,0.8846,0.8849808827044952,0.9638,0.9883,0.9973,0.9994,1.0
0.8881,0.989749588888889,0.8905123251969853,0.8881,0.888718334689306,0.9641,0.9883,0.9974,0.9993,0.9999
0.8881,0.9899683111111112,0.8889893752537482,0.8881,0.8882334891031366,0.9668,0.989,0.9975,0.9995,0.9999
0.889,0.9903394333333331,0.8877671819070194,0.8889999999999999,0.8880353556343877,0.9672,0.9882,0.9979,0.9994,1.0
0.8917,0.9906193722222222,0.8913159981391748,0.8916999999999999,0.8914272433294961,0.968,0.9885,0.9978,0.9995,1.0
0.8915,0.9908471555555557,0.8919481447037712,0.8915,0.8915024629199376,0.9686,0.9887,0.9977,0.9994,1.0
