,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(13.5, 643.5)","(644.5, 1192.5)","(1193.5, 1628.5)","(1629.5, 1828.5)","(1829.5, 2274.5)","(2276.5, 2644.5)","(2645.5, 2750.5)","(2751.5, 3533.5)","(3534.5, 3962.5)","(3963.5, 4298.5)","(4299.5, 4677.5)","(4678.5, 4996.5)"
"Time length, sec",630.0,548.0,435.0,199.0,445.0,368.0,105.0,782.0,428.0,335.0,378.0,318.0
Number of epochs,602,530,414,191,421,355,98,755,415,324,353,300
