Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9584,0.9986428429925496,0.9578202198717181,0.9577072612198172,0.9577062544820161,0.9869,0.9962,0.9989,0.9999,1.0
0.9664,0.9990879881566412,0.9657803556297491,0.9658288900584031,0.9657513895386703,0.9901,0.997,0.9992,0.9999,1.0
0.9704,0.9992566239816008,0.9698526189096925,0.9698186676432089,0.9698029236656642,0.9923,0.9975,0.9993,0.9999,1.0
0.9706,0.99932409852016,0.9705875102128655,0.9697488449642462,0.970009879673244,0.9929,0.9979,0.9993,0.9999,1.0
0.9741,0.9994064662055718,0.9739110634934113,0.9734788354194986,0.9735771820518723,0.9936,0.9979,0.9994,0.9999,1.0
0.9757,0.9994336558699156,0.9752396931419538,0.9753062490239867,0.9752317924097179,0.9935,0.9981,0.9993,0.9998,1.0
0.9762,0.9994676667139895,0.9757794530760184,0.9757880283977229,0.9757090904787615,0.9938,0.9983,0.9994,0.9999,1.0
0.9776,0.9995268659732626,0.9772690048157019,0.9771377459177797,0.9771666138536584,0.9944,0.9983,0.9993,0.9998,1.0
0.977,0.9995320497153104,0.9767236136722361,0.9765245531693687,0.976531167716678,0.9945,0.9982,0.9993,0.9999,1.0
0.976,0.9995532313272839,0.9760436177658235,0.975316797651787,0.9755049849903186,0.9947,0.9983,0.9995,0.9999,1.0
