,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
1,0,35,10,3,Mode,"[0, 52, 1044, 1046]",160.04945772971277,2.204621033985331,0.07688013462005086,99.88471748813616,0.8188295081211927,0.2798830361407697,99.4628582229187,0.7917413848971222
76,40,35,15,4,Mode,"[0, 52, 558, 681, 1046]",162.16637177256777,1.4783494356704947,-0.02424761235995669,126.33779762285572,2.715470781979321,0.22312070640034073,117.89986380131688,1.6217438648613693
72,40,35,10,5,Median,"[0, 52, 244, 532, 681, 1046]",91.29664695122023,1.0546523458602695,-0.03638633050140888,128.22650499057767,4.425457491811626,0.17471275090219335,79.80262938717962,2.030484493677624
7,0,35,20,6,Mode,"[0, 52, 245, 560, 681, 1044, 1046]",81.86567151046881,1.2522862915514497,-0.10734905336372985,107.3844732416597,4.450823222102973,0.19027120228375974,70.31923379935238,1.6158528581907703
4,0,35,15,7,Mode,"[0, 52, 245, 558, 681, 846, 1044, 1046]",76.33569475386581,1.1501451625397572,-0.11769632536725043,95.29698719662497,3.754477734388123,0.15827234169835872,65.13977827740655,1.8705633877046874
6,0,35,20,8,Median,"[0, 52, 244, 366, 556, 668, 852, 1040, 1046]",57.432959136611395,0.880530775131805,-0.0722879925197165,81.98887938419497,5.136005597570388,0.13531328192577022,48.017142480550355,3.2830836779552652
7,0,35,20,9,Mode,"[0, 52, 245, 350, 436, 560, 681, 852, 1044, 1046]",49.20004826238396,1.0017217496471713,-0.16055996924767724,74.71976106014327,36.3586586862631,0.12724140933964123,41.44469968610689,2.1361773098601677
4,0,35,15,10,Mode,"[0, 52, 245, 350, 495, 558, 681, 846, 922, 1044, 1046]",39.78619247535976,0.8959602866801011,-0.1506916199221978,66.68310208822881,7.9593707240625164,0.11601183285084421,33.83458511631064,4.040232066953418
94,40,45,15,11,Mode,"[0, 52, 218, 245, 350, 415, 525, 558, 681, 867, 986, 1046]",30.3905962076839,0.7766263089562964,-0.11732311347403908,62.45972700829548,10.860808635763847,0.09934227571215606,25.670257400002953,2.970403986728144
48,20,40,15,12,Median,"[0, 52, 105, 208, 245, 350, 436, 525, 558, 681, 852, 986, 1046]",25.34264946496866,0.7194801657560869,-0.12259690618307006,58.2682463772292,11.466310757247989,0.09442474145356282,21.37018323438873,3.392905337720413
97,40,45,20,13,Mode,"[0, 52, 105, 199, 245, 350, 436, 525, 560, 609, 681, 852, 986, 1046]",20.952503651215448,0.7249746611402044,-0.1334319897602642,55.713145140282094,11.13940534730768,0.09725471908278666,17.99932407183807,3.21034853107072
16,0,40,20,14,Mode,"[0, 52, 105, 208, 245, 350, 415, 495, 560, 681, 771, 852, 986, 1044, 1046]",20.42252729412232,0.799848014771913,-0.1977525205408457,50.73334631142481,10.000622328579409,0.0949534330492252,17.09448230534848,2.9544720018339805
16,0,40,20,15,Mode,"[0, 52, 105, 208, 245, 350, 415, 495, 560, 609, 681, 771, 852, 986, 1044, 1046]",19.308214359784564,0.8133647553755285,-0.1934086916430123,49.094996037528645,10.17529038080568,0.1019650917605485,16.624316541063436,2.9344659126072785
16,0,40,20,16,Mode,"[0, 52, 105, 208, 245, 350, 415, 495, 560, 609, 681, 771, 852, 922, 1020, 1044, 1046]",16.66087470774046,0.7872871084286392,-0.1993491048239981,45.53039126577465,10.243963352881146,0.10306503951120322,14.75928557868084,3.6517559524554906
