,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,0,35,10,3,Median,"[0, 136, 670, 1046]",292.03743276552075,1.3781906532054766,0.039349540681150104,151.11708729450302,3.5695010647191183,0.1539479140622928,139.19244325876457,2.960516393377607
1,0,35,10,3,Mode,"[0, 52, 609, 1046]",232.4533376017533,1.6909387888768896,0.012570391447319926,109.75837715354926,2.948037820467914,0.16703226672989893,98.28549774647195,2.426569866495556
2,0,35,10,3,Mean,"[0, 165, 707, 1046]",280.93681840356686,1.2404907372337552,0.03545976550569021,147.04714438116685,4.618433083126219,0.13664524630696093,131.31647417596133,3.772751165916482
3,0,35,10,4,Median,"[0, 136, 586, 842, 1046]",201.29666010507307,1.164853163838713,0.007652413301416698,103.40800874586014,5.806617118380187,0.11930027616208992,95.21883710092835,3.2132572557079215
4,0,35,10,4,Mode,"[0, 52, 609, 929, 1046]",178.42947655445934,1.4220376886181105,-0.023735818061691956,80.98084526084176,3.63746484510361,0.12776000222108266,74.8576794431886,2.705862758969824
5,0,35,10,4,Mean,"[0, 158, 582, 834, 1046]",187.03037952590992,1.0563105983481826,0.007768226874345859,98.5262000511249,7.256252565945093,0.1065318503276333,88.84274546944447,3.7813950270119148
6,0,35,10,5,Median,"[0, 52, 252, 609, 842, 1046]",151.4956110755891,1.224317254334706,-0.013160972970532238,114.36519531448023,9.296384956786971,0.13840424501200485,84.35164294197212,2.41644192965329
7,0,35,10,5,Mode,"[0, 52, 252, 609, 929, 1046]",135.6388239905129,1.1418626295235679,-0.01755728957007702,108.56789928976622,6.196084455762677,0.12297325253444992,77.1837369686009,2.967260163386623
8,0,35,10,5,Mean,"[0, 72, 268, 590, 834, 1046]",119.57677771679768,1.0399609086730581,-0.025313817266789163,102.50416591392676,8.392753590150594,0.11262978720098504,68.36869509822502,3.423068480043736
9,0,35,10,6,Median,"[0, 52, 252, 566, 746, 920, 1046]",113.86875500680935,1.050599750965279,-0.02833734758020978,87.73344703799505,5.567283576073581,0.11613408682445278,65.90015834050057,3.748570981767781
10,0,35,10,6,Mode,"[0, 52, 252, 609, 670, 929, 1046]",112.46923241142451,1.0775367907416136,-0.03525929632252424,92.48276281468428,27.369173794473582,0.09744739319790921,62.97345814298851,3.8268852501060686
11,0,35,10,6,Mean,"[0, 72, 263, 560, 734, 899, 1046]",107.51070428719565,1.0257183799173757,-0.03175671515794128,87.48900304873217,7.440177162091391,0.10850496736054267,61.24479810996273,3.4743915229184514
12,0,35,10,7,Median,"[0, 52, 252, 490, 609, 766, 920, 1046]",94.53217223233763,0.9772596677550784,-0.03785715400972164,77.38033113501012,6.30559023352752,0.10733754072796269,58.13144839775194,4.024251928581794
13,0,35,10,7,Mode,"[0, 52, 252, 490, 609, 746, 929, 1046]",93.39311901413127,0.9653089914675683,-0.03767665430444468,76.57619893208458,6.050001947074141,0.10505371687533993,57.617006855075836,3.9716082689658965
14,0,35,10,7,Mean,"[0, 72, 259, 473, 612, 766, 899, 1046]",79.62070452329375,0.8837940653032348,-0.0464795550723442,74.15400911777311,7.524609037229083,0.09155353420372024,48.93382781672966,4.378770226036572
15,0,35,10,8,Median,"[0, 52, 136, 252, 490, 609, 766, 920, 1046]",51.70933498573988,0.8405770786104894,-0.07270506046333951,68.59043354435009,6.074018206074887,0.08289277022954443,31.206013016199933,3.9534740587001775
16,0,35,10,8,Mode,"[0, 52, 177, 252, 490, 609, 746, 929, 1046]",44.265031816058226,0.8309059007564624,-0.07066179270299311,67.64377123496106,5.868521321990959,0.08153052567568839,27.077894605155503,3.932242765535894
17,0,35,10,8,Mean,"[0, 54, 140, 268, 473, 612, 766, 899, 1046]",46.32717956751065,0.7948825036392387,-0.07750547401554177,65.0630940780546,7.019279943669554,0.07442430880205572,27.86188496370133,4.187683626314486
18,0,35,10,9,Median,"[0, 52, 136, 252, 490, 586, 670, 767, 920, 1046]",60.92485264615785,0.9886196247804744,-0.0844883540740683,68.05094169652045,5.215293416524282,0.09772754670625361,34.79973010010167,2.931899387262936
19,0,35,10,9,Mode,"[0, 52, 177, 252, 490, 609, 670, 746, 929, 1046]",44.422464474737815,0.8841450537960263,-0.08804666528180606,63.80386342950199,19.827497951441856,0.07984095689653788,26.44644462548257,3.6122161109099773
20,0,35,10,9,Mean,"[0, 54, 140, 268, 473, 588, 673, 768, 899, 1046]",52.225668617161645,0.910151756647545,-0.08687936493468357,62.75948470345554,5.7728475860016015,0.08557775559112785,29.622207352658254,3.3016109201522714
21,0,35,10,10,Median,"[0, 52, 136, 252, 490, 586, 670, 767, 857, 929, 1046]",53.06330655242212,0.9036123436038677,-0.08757199041243498,64.27483255801464,7.989498429397202,0.09461592465550836,30.711255700068175,4.73817767451374
22,0,35,10,10,Mode,"[0, 52, 177, 252, 490, 609, 670, 746, 842, 929, 1046]",40.47003323799309,0.8429456558089897,-0.08899197111230504,61.828093541305904,19.97316219531921,0.0839231325532165,24.202777837237413,4.364973947001824
23,0,35,10,10,Mean,"[0, 50, 131, 268, 473, 588, 673, 768, 853, 938, 1046]",48.60877010955371,0.8570582136734077,-0.08950963090683402,59.799961491048165,8.24117714240721,0.08702562360800215,27.91494866959604,4.894124196518394
24,0,35,10,11,Median,"[0, 52, 136, 252, 345, 490, 586, 670, 767, 857, 929, 1046]",40.015975408167286,0.8398099904277471,-0.10246049340649704,58.53301661323854,7.932397131939569,0.0828243344066569,23.226783033652392,4.816608348587437
25,0,35,10,11,Mode,"[0, 52, 177, 252, 316, 490, 609, 670, 746, 842, 929, 1046]",31.015262088987576,0.7786612628152682,-0.09687711912203735,56.243017366700585,19.93691604114184,0.0736759631302904,18.589073662707342,4.4912946703260905
26,0,35,10,11,Mean,"[0, 54, 140, 258, 358, 491, 588, 673, 768, 853, 938, 1046]",37.52643298344787,0.8140829306926429,-0.10601974448453506,55.35411421830743,7.8843886875730815,0.07751527493809626,21.505297353199992,4.764942304731029
27,0,35,10,12,Median,"[0, 52, 136, 252, 345, 490, 566, 609, 670, 767, 857, 929, 1046]",39.48478586340027,0.9270013435926053,-0.11230507398023239,57.50866289314125,17.37268022526185,0.09397775399344352,23.452063532723447,4.342043295544059
28,0,35,10,12,Mode,"[0, 52, 177, 252, 316, 490, 566, 609, 670, 746, 842, 929, 1046]",37.068200180591276,0.928636576953745,-0.107612016957585,56.78998622258339,18.263589640041427,0.0947972394660563,21.995833903015047,3.646512421984006
29,0,35,10,12,Mean,"[0, 54, 140, 258, 358, 488, 561, 605, 673, 768, 853, 938, 1046]",38.76782209804496,0.910504172752453,-0.11790243527133934,54.42370040595272,11.595992575930863,0.08795978555914236,22.530541558064115,4.257101956753991
30,0,35,10,13,Median,"[0, 52, 136, 252, 345, 490, 566, 609, 670, 746, 800, 857, 929, 1046]",34.460030619948185,0.8998267420778184,-0.11747614923084651,53.64607491982531,16.19862144001779,0.08770189139188246,20.82135925210954,4.141603280455793
31,0,35,10,13,Mode,"[0, 52, 177, 252, 316, 490, 566, 609, 670, 746, 800, 842, 929, 1046]",31.383106727761515,0.884596823750296,-0.11667523181712204,52.59677011155232,17.140071964444907,0.08363159067528671,19.160522793519785,3.669658650867664
32,0,35,10,13,Mean,"[0, 50, 131, 258, 358, 491, 568, 609, 672, 745, 794, 853, 938, 1046]",34.89509555322333,0.9175077877641304,-0.1215011849809072,51.99414645661274,16.19578911703134,0.08747092531548183,20.98994249757016,3.88834733355356
33,0,35,10,14,Median,"[0, 52, 131, 177, 252, 345, 490, 566, 609, 670, 746, 789, 857, 929, 1046]",29.309908026405342,0.8557769503034002,-0.13147724063127475,50.22902127349356,15.521442542691428,0.07715707715823156,17.049270736642377,4.170592483980657
34,0,35,10,14,Mode,"[0, 52, 94, 177, 252, 316, 490, 566, 609, 670, 746, 800, 842, 929, 1046]",25.161064080223518,0.8237306423458546,-0.1290038558221377,49.133399044751556,16.297919816277485,0.07484748710244964,14.787820867880678,3.7318551328745815
35,0,35,10,14,Mean,"[0, 50, 119, 180, 259, 358, 491, 568, 609, 672, 741, 789, 853, 938, 1046]",28.22372035463948,0.8526128514487353,-0.13080996238567752,48.58502064834714,15.637512661534378,0.0771912293781229,16.498942098797034,4.023363186079385
36,0,35,10,15,Median,"[0, 52, 131, 177, 252, 323, 411, 490, 566, 609, 670, 746, 800, 857, 929, 1046]",24.642912114299975,0.786080898684258,-0.1342808650019207,46.53825101569612,15.26350866570667,0.06691715218961553,14.319196103496157,4.5003850750115655
37,0,35,10,15,Mode,"[0, 52, 94, 177, 252, 316, 415, 490, 566, 609, 670, 746, 800, 842, 929, 1046]",22.61720283523198,0.782636904679359,-0.13540372599309394,46.02103146857764,15.718898949921945,0.06747945482684746,13.293580394151673,4.011283053963401
38,0,35,10,15,Mean,"[0, 50, 119, 180, 259, 332, 407, 491, 568, 609, 672, 745, 794, 853, 938, 1046]",24.303780248212092,0.797887104906133,-0.13478135387271145,44.952296857507896,15.230637883048296,0.06898879321548837,14.152470317371387,4.317472773307076
39,0,35,10,16,Median,"[0, 52, 94, 136, 177, 252, 323, 411, 490, 566, 609, 670, 746, 800, 857, 929, 1046]",21.416522647372123,0.7412862105804627,-0.13971358434128212,43.70827861026345,14.886939281134534,0.06358038688912818,12.3619027651732,4.682722706291519
