,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 254.5)","(255.5, 634.5)","(635.5, 715.5)","(716.5, 1141.5)","(1142.5, 1727.5)","(1728.5, 2013.5)","(2014.5, 2263.5)"
"Time length, sec",249.0,379.0,80.0,425.0,585.0,285.0,249.0
Number of epochs,228,347,73,377,527,266,235
