,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 240.5)","(241.5, 1357.5)","(1358.5, 1538.5)","(1539.5, 2015.5)","(2016.5, 2643.5)","(2644.5, 2874.5)","(2875.5, 2987.5)"
"Time length, sec",235.0,1116.0,180.0,476.0,627.0,230.0,112.0
Number of epochs,219,1039,162,443,571,218,107
