,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(21.5, 98.5)","(99.5, 451.5)","(452.5, 562.5)","(563.5, 635.5)","(636.5, 895.5)","(896.5, 1135.5)","(1136.5, 1203.5)","(1204.5, 1359.5)","(1360.5, 1451.5)"
"Time length, sec",77.0,352.0,110.0,72.0,259.0,239.0,67.0,155.0,91.0
Number of epochs,71,325,106,72,243,228,67,142,89
