,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 88.3)","(89.1, 233.1)","(233.9, 319.5)","(320.3, 449.9)","(450.7, 506.7)","(507.5, 620.3)","(621.1, 758.7)","(759.5, 877.1)","(877.9, 938.7)"
"Time length, sec",78.39999999999999,144.0,85.6,129.59999999999997,56.0,112.79999999999995,137.60000000000002,117.60000000000002,60.80000000000007
Number of epochs,91,157,94,144,68,128,160,134,70
