,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,0,45,20,Mode,40,[   0  968 1419],2,968,451,709.5,1959.5279891660402,2.5237189207896074,-0.002041943992040893,0.7826741350652268,36.80960690950664,-0.002041943992040893,0.7826741350652268,36.80960690950664
1,0,50,10,Median,40,[   0  645  984 1419],3,645,339,473.0,2411.3314941100807,3.416947410183578,-0.010099391904780245,0.8049575412157718,36.58953344060756,0.006089980555051236,0.9506335303147269,28.329336067760387
2,0,45,10,Median,40,[   0  645  984 1359 1419],4,645,60,354.75,1815.2213429287165,3.701541693792229,-0.015345505372436497,0.6699038368740942,34.83576859889976,0.010276677733269636,0.727883246000483,26.144974043941204
3,0,35,20,Median,40,[   0  249  325  705  984 1419],5,435,76,283.8,5763.593855043421,8.01036626189714,-0.023450216961834212,1.5587383044603689,25.372384806204632,0.024936848133931853,2.266973150429468,15.512139975687766
4,0,40,20,Median,40,[   0  249  325  705  984 1295 1419],6,380,76,236.5,5423.461050994005,7.801660524360668,-0.031483147670536386,1.6077965321047003,25.3808025398237,0.018144410518619362,2.1630202549431985,15.206689092875289
5,0,40,15,Mode,40,[   0  249  324  647  968 1025 1295 1419],7,323,57,202.71428571428572,4643.078184282567,8.413252453824308,-0.03291341883007483,1.3666984962180946,24.771862822761115,0.01668071316481211,1.8487195594065344,13.279563811824167
6,20,35,15,Mode,40,[   0  249  325  575  647  968 1152 1295 1419],8,321,72,177.375,5068.767309570656,8.374427884135283,-0.03863813852055262,1.5141596476284094,25.392067803298723,0.01893592557451027,2.0480040436588967,13.451949246330589
7,0,50,15,Mode,40,[   0  249  324  459  645  968 1025 1242 1295 1419],9,323,53,157.66666666666666,5437.996712587774,10.076506341293577,-0.044308805393147105,1.562386872406889,24.597871335647476,0.01617411452436264,2.205007749391222,11.238929061851564
8,20,35,15,Mode,40,[   0  249  325  575  647  808  968 1025 1152 1295 1419],10,250,57,141.9,5082.789865388805,9.27473473660033,-0.03934587759805603,1.4673936959790344,24.390261271666155,0.018096186405544515,2.0336376559709852,10.858060817250701
9,0,40,15,Mode,40,[   0  249  324  575  647  808  968 1025 1152 1242 1295 1419],11,251,53,129.0,4767.4974348060305,9.777351304866567,-0.046091536003778175,1.4761264714716316,23.122087716258275,0.015394080124799717,1.9229380538233507,10.647073017735309
10,40,45,20,Mode,40,[   0  129  249  325  494  645  705  808  968 1025 1242 1295 1419],12,217,53,118.25,4965.526568144469,10.012614662209806,-0.06194644913114854,1.5289534406055554,21.743389919133676,0.011031443209049628,2.0025028448538333,10.868818278941527
11,0,40,20,Mode,40,[   0  180  249  324  575  647  736  808  968 1025 1152 1242 1295 1419],13,251,53,109.15384615384616,4218.609758220067,9.605488343160292,-0.05208444889482373,1.36741158567335,20.8976603035834,0.009736108254192901,1.6906279398545987,10.6504327102053
12,40,50,15,Mode,40,"[   0   58  249  325  530  645  705  808  968 1025 1152 1242 1295 1341
 1419]",14,205,46,101.35714285714286,5064.65845331616,10.810005906083914,-0.08428233627784205,1.5675008463322528,20.03112172556669,0.00884335864441817,2.0985426216003176,9.963123855084989
13,60,40,20,Mode,40,"[   0  129  187  249  325  418  575  645  705  808  968 1025 1152 1242
 1295 1419]",15,160,53,94.6,4488.368120906898,10.374320496708474,-0.06957614427586781,1.4998771357853449,18.389415834174105,0.007596992646027857,1.8034166423895182,9.802479132543153
14,40,40,15,Mode,40,"[   0  129  249  325  380  494  575  645  705  808  968 1025 1152 1242
 1295 1341 1419]",16,160,46,88.6875,4528.647269809919,10.572906335196569,-0.08471055189003408,1.4485963157847133,19.919325201421742,0.005758484871790241,1.8567225956666127,10.288233510053432
