,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 267.5)","(268.5, 343.5)","(344.5, 687.5)","(689.5, 1036.5)","(1037.5, 1096.5)","(1097.5, 1393.5)","(1394.5, 1531.5)"
"Time length, sec",262.0,75.0,343.0,347.0,59.0,296.0,137.0
Number of epochs,249,75,323,321,57,270,124
