,model,n_components,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24
0,ViTl16,3,"45.8%
(1, 124, 1)
(1, 124, 1)","15.0%
(1, 1, 1)
(1, 1, 1)","14.8%
(1, 1, 2)
(1, 1, 2)","15.0%
(1, 1, 2)
(1, 1, 2)","14.5%
(1, 4, 1)
(1, 4, 1)","13.9%
(1, 4, 6)
(1, 4, 6)","13.8%
(1, 1, 2)
(1, 1, 2)","13.7%
(1, 5, 5)
(1, 5, 5)","13.5%
(1, 3, 1)
(1, 3, 1)","13.6%
(1, 2, 2)
(1, 2, 2)","13.2%
(1, 3, 3)
(1, 3, 3)","37.6%
(2, 1, 2)
(2, 1, 2)","13.0%
(1, 2, 3)
(1, 2, 3)","13.2%
(1, 1, 1)
(1, 1, 1)","13.4%
(1, 1, 1)
(1, 1, 1)","13.4%
(1, 1, 3)
(1, 1, 3)","13.4%
(1, 1, 3)
(1, 1, 3)","31.5%
(1, 2, 1)
(1, 2, 1)","27.4%
(1, 2, 24)
(1, 2, 24)","23.6%
(1, 2, 5)
(1, 2, 5)","20.7%
(1, 1, 1)
(1, 1, 1)","17.5%
(1, 1, 1)
(1, 1, 1)","16.0%
(1, 2, 2)
(1, 2, 2)","15.4%
(1, 7, 4)
(1, 7, 4)"
1,ViTl16,4,"55.0%
(1, 1, 8, 1)
(1, 1, 8, 1)","18.0%
(1, 2, 2, 3)
(1, 2, 2, 3)","17.7%
(1, 8, 1, 2)
(1, 8, 1, 2)","18.2%
(1, 1, 3, 2)
(1, 1, 3, 2)","17.7%
(1, 16, 2, 4)
(1, 16, 2, 4)","17.2%
(1, 1, 2, 3)
(1, 1, 2, 3)","17.0%
(1, 12, 2, 1)
(1, 12, 2, 1)","16.8%
(1, 4, 3, 3)
(1, 4, 3, 3)","16.7%
(1, 12, 6, 1)
(1, 12, 6, 1)","16.8%
(2, 6, 1, 3)
(2, 6, 1, 3)","16.3%
(1, 4, 1, 1)
(1, 4, 1, 1)","45.4%
(1, 1, 3, 3)
(1, 1, 3, 3)","16.2%
(1, 2, 1, 1)
(1, 2, 1, 1)","16.4%
(1, 1, 12, 2)
(1, 1, 12, 2)","16.6%
(1, 2, 1, 3)
(1, 2, 1, 3)","16.6%
(4, 8, 5, 4)
(4, 8, 5, 4)","16.6%
(4, 8, 5, 4)
(4, 8, 5, 4)","37.5%
(2, 2, 7, 9)
(2, 2, 7, 9)","32.5%
(1, 1, 1, 1)
(1, 1, 1, 1)","28.3%
(1, 1, 1, 2)
(1, 1, 1, 2)","24.9%
(7, 2, 4, 3)
(7, 2, 4, 3)","21.4%
(1, 5, 1, 1)
(1, 5, 1, 1)","19.6%
(1, 2, 1, 1)
(1, 2, 1, 1)","18.5%
(1, 2, 2, 4)
(1, 2, 2, 4)"
2,ViTl16,5,"62.9%
(1, 1, 10, 7, 1)
(1, 1, 10, 7, 1)","21.0%
(1, 1, 1, 1, 1)
(1, 1, 1, 1, 1)","20.5%
(1, 1, 2, 1, 1)
(1, 1, 2, 1, 1)","20.9%
(1, 4, 2, 3, 1)
(1, 4, 2, 3, 1)","20.4%
(1, 3, 1, 1, 1)
(1, 3, 1, 1, 1)","19.8%
(1, 1, 2, 1, 1)
(1, 1, 2, 1, 1)","19.5%
(1, 2, 16, 1, 1)
(1, 2, 16, 1, 1)","19.4%
(1, 17, 4, 2, 3)
(1, 17, 4, 2, 3)","19.3%
(1, 5, 3, 9, 1)
(1, 5, 3, 9, 1)","19.3%
(1, 3, 2, 2, 1)
(1, 3, 2, 2, 1)","18.8%
(2, 1, 2, 1, 1)
(2, 1, 2, 1, 1)","52.9%
(1, 1, 2, 6, 1)
(1, 1, 2, 6, 1)","18.7%
(1, 25, 3, 14, 1)
(1, 25, 3, 14, 1)","18.9%
(1, 10, 2, 1, 1)
(1, 10, 2, 1, 1)","19.1%
(1, 3, 8, 1, 1)
(1, 3, 8, 1, 1)","19.1%
(3, 1, 9, 3, 1)
(3, 1, 9, 3, 1)","19.1%
(3, 1, 9, 3, 1)
(3, 1, 9, 3, 1)","43.1%
(1, 4, 2, 1, 2)
(1, 4, 2, 1, 2)","37.4%
(1, 1, 1, 9, 3)
(1, 1, 1, 9, 3)","32.5%
(1, 1, 5, 2, 1)
(1, 1, 5, 2, 1)","28.4%
(2, 1, 5, 11, 5)
(2, 1, 5, 11, 5)","24.9%
(2, 3, 1, 1, 2)
(2, 3, 1, 1, 2)","22.8%
(2, 3, 15, 2, 1)
(2, 3, 15, 2, 1)","21.6%
(1, 3, 10, 1, 1)
(1, 3, 10, 1, 1)"
3,ViTb32,3,"61.5%
(1, 2, 1)
(1, 2, 1)","17.6%
(1, 2, 1)
(1, 2, 1)","23.1%
(1, 4, 1)
(1, 4, 1)","36.0%
(2, 4, 1)
(2, 4, 1)","46.0%
(1, 2, 1)
(1, 2, 1)","34.2%
(1, 2, 1)
(1, 2, 1)","31.3%
(1, 3, 1)
(1, 3, 1)","27.2%
(2, 2, 1)
(2, 2, 1)","25.8%
(1, 4, 1)
(1, 4, 1)","21.9%
(1, 2, 1)
(1, 2, 1)","16.7%
(4, 1, 1)
(4, 1, 1)","16.7%
(1, 2, 1)
(1, 2, 1)",,,,,,,,,,,,
4,ViTb32,4,"66.5%
(1, 7, 1, 1)
(1, 7, 1, 1)","21.4%
(2, 1, 1, 1)
(2, 1, 1, 1)","26.5%
(1, 2, 3, 1)
(1, 2, 3, 1)","39.7%
(1, 7, 2, 1)
(1, 7, 2, 1)","51.1%
(1, 7, 1, 1)
(1, 7, 1, 1)","39.4%
(1, 1, 6, 1)
(1, 1, 6, 1)","35.8%
(1, 2, 2, 1)
(1, 2, 2, 1)","31.6%
(1, 2, 2, 1)
(1, 2, 2, 1)","30.2%
(2, 3, 2, 1)
(2, 3, 2, 1)","25.7%
(1, 3, 1, 1)
(1, 3, 1, 1)","20.7%
(2, 1, 2, 1)
(2, 1, 2, 1)","20.5%
(1, 1, 1, 1)
(1, 1, 1, 1)",,,,,,,,,,,,
5,ViTb32,5,"71.1%
(1, 3, 1, 1, 1)
(1, 3, 1, 1, 1)","24.6%
(1, 1, 6, 1, 1)
(1, 1, 6, 1, 1)","29.6%
(1, 1, 2, 1, 1)
(1, 1, 2, 1, 1)","42.2%
(14, 3, 1, 1, 1)
(14, 3, 1, 1, 1)","55.4%
(3, 1, 1, 1, 1)
(3, 1, 1, 1, 1)","43.9%
(2, 2, 3, 1, 1)
(2, 2, 3, 1, 1)","40.1%
(4, 1, 4, 1, 1)
(4, 1, 4, 1, 1)","35.4%
(1, 2, 1, 1, 1)
(1, 2, 1, 1, 1)","33.7%
(5, 1, 20, 1, 1)
(5, 1, 20, 1, 1)","29.4%
(1, 2, 17, 1, 1)
(1, 2, 17, 1, 1)","24.0%
(1, 5, 4, 1, 1)
(1, 5, 4, 1, 1)","23.7%
(1, 1, 2, 1, 1)
(1, 1, 2, 1, 1)",,,,,,,,,,,,
6,ResNet34,3,"24.4%
(2, 7, 51)
(2, 7, 51)","20.9%
(2, 2, 2)
(2, 2, 2)","4.7%
(5, 1, 1)
(5, 1, 1)","5.7%
(3, 6, 3)
(3, 6, 3)","5.5%
(1, 1, 1)
(1, 1, 1)","6.1%
(2, 1, 1)
(2, 1, 1)","7.6%
(1, 1, 2)
(1, 1, 2)","8.6%
(1, 1, 1)
(1, 1, 1)","10.6%
(2, 2, 4)
(2, 2, 4)","20.1%
(4, 4, 2)
(4, 4, 2)","19.3%
(9, 3, 1)
(9, 3, 1)","14.7%
(2, 1, 2)
(2, 1, 2)","12.5%
(2, 1, 1)
(2, 1, 1)","12.3%
(4, 6, 7)
(4, 6, 7)","11.4%
(1, 2, 2)
(1, 2, 2)","6.1%
(1, 1, 1)
(1, 1, 1)","4.8%
(1, 2, 7)
(1, 2, 7)",,,,,,,
7,ResNet34,4,"27.4%
(7774, 7, 1, 11)
(7774, 7, 1, 11)","24.4%
(1, 2, 6, 21)
(1, 2, 6, 21)","5.6%
(1, 3, 10, 1)
(1, 3, 10, 1)","6.7%
(10, 1, 4, 2)
(10, 1, 4, 2)","6.6%
(1, 1, 2, 1)
(1, 1, 2, 1)","7.3%
(1, 8, 2, 3)
(1, 8, 2, 3)","8.9%
(1, 7, 2, 1)
(1, 7, 2, 1)","10.2%
(1, 5, 4, 1)
(1, 5, 4, 1)","13.1%
(2, 1, 8, 2)
(2, 1, 8, 2)","23.9%
(5, 4, 7, 1)
(5, 4, 7, 1)","23.0%
(1, 1, 1, 1)
(1, 1, 1, 1)","17.5%
(11, 1, 2, 1)
(11, 1, 2, 1)","15.1%
(1, 1, 6, 5)
(1, 1, 6, 5)","14.3%
(1, 1, 1, 5)
(1, 1, 1, 5)","13.3%
(2, 1, 4, 3)
(2, 1, 4, 3)","7.2%
(3, 1, 2, 2)
(3, 1, 2, 2)","5.7%
(2, 7, 2, 2)
(2, 7, 2, 2)",,,,,,,
8,ResNet34,5,"30.1%
(7977, 4, 1, 4, 1)
(7977, 4, 1, 4, 1)","27.0%
(1, 7, 2, 1, 2)
(1, 7, 2, 1, 2)","6.4%
(1, 3, 2, 24, 1)
(1, 3, 2, 24, 1)","7.7%
(1, 1, 2, 3, 1)
(1, 1, 2, 3, 1)","7.6%
(1, 5, 4, 3, 1)
(1, 5, 4, 3, 1)","8.3%
(2, 8, 2, 1, 1)
(2, 8, 2, 1, 1)","9.9%
(3, 2, 1, 2, 2)
(3, 2, 1, 2, 2)","11.4%
(1, 3, 1, 1, 1)
(1, 3, 1, 1, 1)","15.2%
(1, 4, 2, 3, 1)
(1, 4, 2, 3, 1)","26.5%
(1, 4, 2, 8, 3)
(1, 4, 2, 8, 3)","25.4%
(7957, 1, 3, 7, 1)
(7957, 1, 3, 7, 1)","19.3%
(7928, 9, 1, 1, 10)
(7928, 9, 1, 1, 10)","16.7%
(2, 1, 5, 1, 3)
(2, 1, 5, 1, 3)","15.8%
(3, 1, 1, 1, 1)
(3, 1, 1, 1, 1)","14.8%
(7888, 2, 1, 1, 3)
(7888, 2, 1, 1, 3)","8.1%
(1, 3, 1, 1, 1)
(1, 3, 1, 1, 1)","6.4%
(5, 1, 1, 1, 1)
(5, 1, 1, 1, 1)",,,,,,,
