St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,35,10,Median,40,[   0  229 1046],2,817,229,523.0,5825.70753147935,5.7070465,0.25712863,241.56985296277952,1.4072545450291711,0.25712862610816956,241.56985296277952,1.4072545450291711
0,35,10,Mode,40,[   0  229  556 1046],3,490,229,348.6666666666667,2305.5710000000836,3.6848426,0.07462969,143.28139505407256,3.1109242537149076,0.16262856125831604,128.3464086274881,2.6698187971490395
0,35,10,Median,40,[   0  229 1046],2,817,229,523.0,5825.70753147935,5.7070465,0.25712863,241.56985296277952,1.4072545450291711,0.25712862610816956,241.56985296277952,1.4072545450291711
0,35,10,Mode,40,[   0  229  556  976 1046],4,420,70,261.5,1775.5492843504842,3.5290349,0.05362896,104.78533403575238,3.466765261973247,0.13031376898288727,94.62467120708368,2.629647987388068
0,35,10,Median,40,[   0  229  556  659 1046],4,387,103,261.5,3674.440573904536,6.258014,0.08811995,168.2503406485361,3.942961308875563,0.31611165404319763,192.92624702604815,1.2730944355152494
0,35,10,Mode,40,[   0  229  556  682 1046],4,364,126,261.5,3498.195517412129,5.788439,0.08244621,162.30712233076844,4.3193150137272776,0.2829027473926544,180.74146834026647,1.3814232605029673
0,35,10,Median,40,[   0  250  556  659 1046],4,387,103,261.5,3650.457032515216,6.237472,0.09075201,167.85469892614714,3.876227156652132,0.31415775418281555,191.06337866982656,1.277975783145549
0,35,10,Mode,40,[   0  229  556  682 1046],4,364,126,261.5,3498.195517412129,5.788439,0.08244621,162.30712233076844,4.3193150137272776,0.2829027473926544,180.74146834026647,1.3814232605029673
0,35,10,Median,40,[   0  250  556  659  842  976 1046],6,306,70,174.33333333333334,2909.9372552248497,5.972442,0.06731798,137.10783333949811,3.0792231821193794,0.3119349777698517,161.5715456903812,1.2541490191108136
0,35,10,Mode,40,[   0  229  556  682  842  976 1046],6,327,70,174.33333333333334,3004.4676675742753,5.9735684,0.058618404,140.94495484580534,2.9516728528504235,0.3200712203979492,172.24920020886202,1.2371901915026184
0,35,10,Median,40,[   0  229  556  659  842  976 1046],6,327,70,174.33333333333334,2924.327380058442,5.9847674,0.065371625,137.40431894825198,3.0180375237310035,0.31310728192329407,162.68926670411415,1.2512202105326338
0,35,10,Mode,40,[   0  229  556  682  842  976 1046],6,327,70,174.33333333333334,3004.4676675742753,5.9735684,0.058618404,140.94495484580534,2.9516728528504235,0.3200712203979492,172.24920020886202,1.2371901915026184
0,35,10,Median,40,[   0   47  229  283  489  556  659  842  976 1046],9,206,47,116.22222222222223,1240.493757896936,4.4725122,-0.004534568,100.38547872557268,2.789393092199307,0.19418539106845856,68.91763022515559,1.6528412202710847
0,35,10,Mode,40,[   0  229  277  489  556  682  842  976 1046],8,229,48,130.75,1405.6953866042802,4.59312,0.013953835,110.39018760236625,2.8255594392068692,0.2145749032497406,82.10549809249662,1.651393043725493
0,35,10,Median,40,[   0   47  210  329  489  556  659  842  976 1046],9,183,47,116.22222222222223,1315.4386542628313,4.4757957,0.000868367,101.8688254773483,2.7897631807725762,0.20201033353805542,73.55810444934494,1.6699189610589764
0,35,10,Mode,40,[   0  229  556  682  842  976 1046],6,327,70,174.33333333333334,3004.4676675742753,5.9735684,0.058618404,140.94495484580534,2.9516728528504235,0.3200712203979492,172.24920020886202,1.2371901915026184
