,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
42,20,35,20,3,Median,"[0, 104, 681, 1046]",1082.1584845957616,2.777419642987917,0.029735311549432555,114.58471026111796,5.874893016594491,0.15991670545367295,106.69399954562475,4.719018344687742,0.5243529017047242,0.2650782306587465,0.49075949888442455
1,0,35,10,4,Mode,"[0, 244, 681, 842, 1046]",1107.2324994886392,2.7101801859895382,0.03157290851571165,110.35613549423398,10.226174377949274,0.15150371315115127,116.7600677206565,2.2908134649207024,0.6929596935374426,0.4933936608839976,0.6273386241398914
52,20,40,20,5,Mode,"[0, 38, 244, 681, 842, 1046]",784.8708976729858,3.023508721644159,0.025160155195032362,106.16285634135701,8.479835844341848,0.17845556874195856,88.4912798688272,2.0806947714467006,0.7280296611169069,0.5198973118464788,0.6430804604480499
16,0,40,20,6,Mode,"[0, 38, 244, 566, 681, 842, 1046]",710.2106211572698,3.116886823302188,0.006528166739615339,98.13589573046711,3.93012059158579,0.19054290178287991,84.93805884061103,1.8620644202998988,0.7985264864333412,0.6639141831734093,0.7331955665696938
16,0,40,20,7,Mode,"[0, 38, 244, 566, 681, 842, 976, 1046]",685.6847548356737,3.1774298861586066,0.0068761050527904365,90.85403877799419,5.233354326306066,0.1986963247812742,81.17782880415042,1.7753592049558293,0.837920979521243,0.7105414276816567,0.7654671936590585
52,20,40,20,8,Mode,"[0, 38, 244, 493, 566, 681, 842, 976, 1046]",557.549236443822,2.896383830963625,-0.0015402515412578765,80.7192832255,5.181214480689079,0.18027301879847837,66.17917033939086,2.0676837210579593,0.8836531031851832,0.8125725561920456,0.8416036183527655
52,20,40,20,9,Mode,"[0, 38, 104, 244, 493, 566, 681, 842, 976, 1046]",399.7169440934804,2.5685860595398893,-0.0214076520762061,74.44076628296163,5.05237764111236,0.1510073306310737,48.26842618580915,2.2346992221080586,0.8570538506414851,0.7362904899366357,0.7739442843350657
52,20,40,20,10,Mode,"[0, 38, 104, 199, 244, 493, 566, 681, 842, 976, 1046]",323.09734484265573,2.4914705888699626,-0.02493829570426602,68.22929903269231,4.824871925525913,0.1414936623918001,38.91038261290575,2.273899047926436,0.8393339531944467,0.6974077821090111,0.7399403032476274
49,20,40,15,11,Mode,"[0, 39, 104, 199, 244, 493, 566, 609, 681, 842, 976, 1046]",264.7369132825488,2.441883903729296,-0.04262351754645531,62.61941369208439,4.926925670382933,0.1329092453860437,32.022201615955645,2.2486855556194945,0.826738203218115,0.6688516446944012,0.7150994763615822
15,0,40,20,12,Median,"[0, 38, 104, 199, 244, 345, 493, 566, 681, 780, 855, 976, 1046]",229.75976379181665,2.209594073109197,-0.04632031607680327,58.174278017135755,5.205573577009134,0.12112449922076741,28.542962680896608,2.802110524520008,0.8593609456521148,0.6913325428515885,0.7440823222059991
6,0,35,20,13,Median,"[0, 38, 104, 199, 244, 345, 490, 554, 609, 681, 767, 855, 976, 1046]",197.00573058699777,2.1538548162185442,-0.061331054876021245,54.32800315410993,4.982727405805116,0.1144268101348232,24.32171120195842,2.895355821607726,0.8313809409496985,0.6372465647533389,0.6992332740843306
15,0,40,20,14,Median,"[0, 38, 104, 199, 244, 345, 493, 566, 609, 681, 780, 842, 922, 976, 1046]",173.1769581455758,2.167055773623896,-0.06301911104087134,50.97451017156304,5.212432888818243,0.10907322667305372,21.750843929161793,2.7267143823155418,0.8183999913652221,0.6053973046443117,0.6739167855736805
25,0,45,20,15,Mode,"[0, 38, 104, 199, 244, 345, 392, 493, 566, 609, 681, 780, 842, 924, 976, 1046]",167.22831459309882,2.1645482686676223,-0.07014582191956792,48.09847408016612,5.373687186790557,0.10687545286877838,21.335672313212736,2.5931960335773234,0.8024762589860751,0.549552305026882,0.6291078452387819
6,0,35,20,16,Median,"[0, 38, 104, 199, 244, 345, 392, 490, 566, 609, 681, 767, 842, 887, 932, 976, 1046]",151.15534049985783,2.064095560978653,-0.07231919392155185,44.84134686620945,6.302334679788419,0.10376317167251164,19.49317299292378,3.2957022431113083,0.7841952357798437,0.5186105051017386,0.6033721180566243
