,0,1,2,3,4
"Start-end time, sec","(5.5, 112.5)","(113.5, 540.5)","(541.5, 660.5)","(661.5, 1013.5)","(1014.5, 1281.5)"
"Time length, sec",107.0,427.0,119.0,352.0,267.0
Number of epochs,104,398,106,340,249
