,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 254.5)","(255.5, 641.5)","(642.5, 715.5)","(716.5, 1140.5)","(1141.5, 1784.5)","(1785.5, 1926.5)","(1927.5, 2263.5)"
"Time length, sec",249.0,386.0,73.0,424.0,643.0,141.0,336.0
Number of epochs,228,354,66,376,576,135,318
