,0,1,2,3,4,5,6
"Start-end time, sec","(11.5, 125.5)","(126.5, 287.5)","(288.5, 358.5)","(359.5, 533.5)","(534.5, 670.5)","(671.5, 873.5)","(874.5, 976.5)"
"Time length, sec",114.0,161.0,70.0,174.0,136.0,202.0,102.0
Number of epochs,111,159,67,168,126,195,96
