,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 46.5)","(48.5, 214.5)","(215.5, 310.5)","(311.5, 359.5)","(360.5, 514.5)","(515.5, 673.5)","(674.5, 811.5)","(812.5, 965.5)","(966.5, 1072.5)","(1073.5, 1206.5)","(1207.5, 1334.5)"
"Time length, sec",41.0,166.0,95.0,48.0,154.0,158.0,137.0,153.0,106.0,133.0,127.0
Number of epochs,42,158,95,46,147,146,135,146,101,126,122
