,0,1,2,3,4,5
"Start-end time, sec","(5.5, 357.5)","(358.5, 726.5)","(727.5, 987.5)","(988.5, 1592.5)","(1593.5, 2229.5)","(2230.5, 2346.5)"
"Time length, sec",352.0,368.0,260.0,604.0,636.0,116.0
Number of epochs,337,353,242,572,596,111
