,0,1,2,3,4,5,6,7
"Start-end time, sec","(11.5, 343.5)","(344.5, 440.5)","(441.5, 499.5)","(500.5, 1014.5)","(1015.5, 1066.5)","(1067.5, 1317.5)","(1318.5, 1433.5)","(1434.5, 1486.5)"
"Time length, sec",332.0,96.0,58.0,514.0,51.0,250.0,115.0,52.0
Number of epochs,325,97,57,495,51,241,113,48
