,VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
28,2,1.0,25.46,140,265,1,136.7,0.0,0.5,28.75,3.05,1.0,172.5,2.5,0.0,0.0
29,1,1.0,13.1,48,265,1,50.6,3.25,0.5,10.0,3.16,1.0,68.51,2.5,0.0,0.75
30,2,1.0,12.46,249,220,1,52.0,1.0,0.5,7.92,3.18,1.0,68.85,2.5,0.0,0.75
31,2,1.0,17.73,230,1,1,115.0,0.0,0.0,24.0,3.25,1.0,144.0,0.0,0.0,0.75
32,2,3.0,1.9,132,132,1,87.44,0.0,0.0,0.0,3.28,1.0,91.72,0.0,0.0,0.0
33,2,1.0,1.58,163,50,2,10.0,0.0,0.5,0.0,3.4,1.0,18.15,2.5,0.0,0.75
34,2,1.0,15.0,203,163,1,80.5,0.0,0.0,0.01,3.45,1.0,88.21,2.5,0.0,0.75
35,2,1.0,0.7,90,186,1,6.5,0.0,0.5,10.0,3.5,1.0,24.75,2.5,0.0,0.75
36,1,3.0,9.0,191,191,1,41.5,0.0,0.5,9.3,3.75,1.0,56.05,0.0,0.0,0.0
37,2,1.0,10.78,85,117,1,47.1,0.0,0.5,5.0,3.94,1.0,57.54,0.0,0.0,0.0
38,2,2.0,12.54,148,134,1,52.0,1.0,0.5,50.05,4.0,1.0,111.8,2.5,0.0,0.75
39,1,1.0,0.9,142,163,3,6.5,4.25,0.5,0.0,4.01,1.0,16.26,2.5,0.0,0.75
40,2,1.0,5.79,264,171,2,26.1,2.5,0.5,0.0,4.25,1.0,34.35,0.0,0.0,0.0
41,2,4.0,0.14,215,215,1,70.0,0.0,0.5,3.0,4.5,1.0,79.0,0.0,0.0,0.0
42,2,1.0,5.07,107,37,1,31.0,2.5,0.5,8.6,4.75,1.0,51.6,2.5,0.0,0.75
43,2,4.0,2.14,261,158,4,14.2,0.0,0.5,0.0,4.95,1.0,23.9,2.5,0.0,0.75
44,2,1.0,7.18,161,138,2,65.0,5.0,0.0,0.0,4.99,1.0,79.24,2.5,0.0,0.75
45,1,1.0,4.7,249,255,3,24.0,4.25,0.5,0.0,5.0,1.0,34.75,2.5,0.0,0.75
46,1,1.0,11.9,91,86,1,41.5,0.0,0.5,0.0,5.2,0.0,47.2,0.0,0.0,0.0
47,2,1.0,17.72,170,132,1,70.0,0.0,0.5,5.0,5.25,1.0,85.0,2.5,0.0,0.75
48,2,4.0,1.19,186,162,3,14.9,0.0,0.5,0.0,5.43,1.0,25.08,2.5,0.0,0.75
49,2,4.0,5.71,230,88,3,27.5,0.0,0.5,0.0,5.5,1.0,37.75,2.5,0.0,0.75
50,2,4.0,2.29,43,230,2,14.9,0.0,0.5,0.0,5.55,1.0,25.2,2.5,0.0,0.75
51,2,2.0,0.14,1,1,1,110.0,0.0,0.0,23.39,5.94,1.0,140.33,0.0,0.0,0.0
52,2,1.0,3.31,161,125,1,32.4,0.0,0.5,0.0,5.99,1.0,43.14,2.5,0.0,0.75
53,2,4.0,2.73,164,144,1,24.0,0.0,0.5,6.95,6.0,1.0,41.7,2.5,0.0,0.75
54,2,2.0,29.32,144,265,1,148.6,1.0,0.5,32.09,6.1,1.0,192.54,2.5,0.0,0.75
55,2,1.0,1.29,164,230,4,14.9,0.0,0.5,0.0,6.18,1.0,25.83,2.5,0.0,0.75
56,2,1.0,8.72,142,225,1,42.9,2.5,0.5,11.27,6.19,1.0,67.61,2.5,0.0,0.75
57,2,1.0,41.45,107,265,1,150.0,0.0,0.0,32.11,6.3,1.0,192.66,2.5,0.0,0.75
58,2,1.0,0.25,216,216,1,86.0,0.0,0.0,23.33,6.32,1.0,116.65,0.0,0.0,0.0
59,2,1.0,9.42,239,220,2,37.3,0.0,0.5,0.0,6.36,1.0,47.66,2.5,0.0,0.0
60,1,3.0,9.9,237,220,2,43.6,2.5,0.5,0.0,6.4,1.0,54.0,2.5,0.0,0.0
61,2,3.0,9.81,239,66,1,62.9,2.5,0.0,14.58,6.49,1.0,87.47,0.0,0.0,0.0
62,2,2.0,9.39,233,138,1,45.0,5.0,0.5,5.0,6.5,1.0,66.25,2.5,0.0,0.75
63,2,1.0,10.36,142,200,1,49.2,2.5,0.5,12.44,6.51,1.0,74.65,2.5,0.0,0.0
64,1,1.0,6.6,161,255,1,36.6,5.75,0.5,10.08,6.55,1.0,60.48,2.5,0.0,0.75
65,2,3.0,7.37,161,138,1,65.0,5.0,0.0,16.19,6.69,1.0,97.13,2.5,0.0,0.75
66,2,1.0,22.89,70,265,1,119.2,0.0,0.5,25.49,6.75,1.0,152.94,0.0,0.0,0.0
67,2,1.0,8.92,48,66,1,42.9,0.0,0.5,5.0,6.89,1.0,59.54,2.5,0.0,0.75
68,2,1.0,9.48,170,138,1,40.1,5.0,0.5,10.8,6.91,1.0,67.56,2.5,0.0,0.75
69,1,1.0,15.9,79,215,1,64.6,4.25,0.5,15.0,6.94,1.0,92.29,2.5,0.0,0.75
70,2,2.0,6.95,226,138,1,65.0,5.0,0.0,0.0,6.95,1.0,77.95,0.0,0.0,0.0
71,2,1.0,16.99,246,1,1,88.1,2.5,0.0,19.86,6.96,1.0,119.17,0.0,0.0,0.75
72,2,4.0,17.17,163,132,1,70.0,0.0,0.5,16.34,6.97,1.0,98.06,2.5,0.0,0.75
73,1,1.0,16.8,142,132,1,70.0,3.25,0.5,16.35,6.98,1.0,98.08,2.5,0.0,0.75
74,2,1.0,0.0,195,195,1,70.0,0.0,0.0,58.37,6.99,1.0,136.36,0.0,0.0,0.0
75,2,1.0,7.43,230,138,4,65.0,5.0,0.0,0.0,7.0,1.0,81.25,2.5,0.0,0.75
76,2,1.0,0.0,231,231,1,3.0,1.0,0.5,3.16,7.03,1.0,18.94,2.5,0.0,0.75
77,2,2.0,12.16,70,50,2,53.4,2.5,0.5,0.0,7.06,1.0,67.71,2.5,0.0,0.75
78,2,2.0,2.32,256,148,1,70.0,5.0,0.5,17.38,7.13,1.0,104.26,2.5,0.0,0.75
79,2,1.0,10.17,264,239,1,43.6,0.0,0.5,11.01,7.44,1.0,66.05,2.5,0.0,0.0
