St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,35,10,Median,40,[   0  239 1046],2,807,239,523.0,4300.5301959641,4.829377,0.5159809,1025.1512396570474,0.6530144098893457,0.5159808993339539,1025.1512396570474,0.6530144098893457
0,35,10,Mode,40,[   0  227  554 1046],3,492,227,348.6666666666667,1390.2312524187416,2.7692907,0.16644564,554.2669794440001,2.2492741275849246,0.3052661120891571,506.066206889149,1.8380632161219967
0,35,10,Median,40,[   0  239 1046],2,807,239,523.0,4300.5301959641,4.829377,0.5159809,1025.1512396570474,0.6530144098893457,0.5159808993339539,1025.1512396570474,0.6530144098893457
0,35,10,Mode,40,[   0  227  554 1046],3,492,227,348.6666666666667,1390.2312524187416,2.7692907,0.16644564,554.2669794440001,2.2492741275849246,0.3052661120891571,506.066206889149,1.8380632161219967
0,35,10,Median,40,[   0  239  554  681  856 1046],5,315,127,209.2,1326.8877804310089,3.5391388,0.15152691,559.8395192496779,1.7270175204490557,0.4492948353290558,545.9205616308775,0.838944173850803
0,35,10,Mode,40,[   0  227  554  667  856 1046],5,327,113,209.2,1272.2118141945616,3.5006864,0.14072317,510.8891235156375,1.85116739023446,0.43418577313423157,482.6819038901184,0.8810195642697966
0,35,10,Median,40,[   0  239  554  681  856  976 1046],6,315,70,174.33333333333334,1189.7442693838925,3.584877,0.14118229,539.3482157117006,2.838425444868042,0.4807063937187195,517.6790771528952,0.7550116197702674
0,35,10,Mode,40,[   0  227  554  667  856  976 1046],6,327,70,174.33333333333334,1144.6644979583798,3.5538669,0.124045156,488.9067534293254,2.7930271906050224,0.46427422761917114,450.92722313789875,0.7690307001806765
0,35,10,Median,40,[   0  227  304  554  681  856  976 1046],7,250,70,149.42857142857142,655.2743747887276,3.0432222,0.11661127,498.58494331880416,2.662715112752811,0.43314695358276367,312.1109785895588,0.923383436986751
0,35,10,Mode,40,[   0  227  304  554  667  856  976 1046],7,250,70,149.42857142857142,628.5887818574607,3.0193377,0.114836074,472.76271042484586,2.7150232637371343,0.4255879819393158,279.8406647790443,0.9291492851996747
0,35,10,Median,40,[   0  227  304  554  681  795  856  976 1046],8,250,61,130.75,499.80844772828743,2.7930143,0.10924091,460.51821385865475,4.4581986304906565,0.41774314641952515,264.3614609274715,0.9703064083061292
0,35,10,Mode,40,[   0  227  304  554  667  856  976 1046],7,250,70,149.42857142857142,628.5887818574607,3.0193377,0.114836074,472.76271042484586,2.7150232637371343,0.4255879819393158,279.8406647790443,0.9291492851996747
0,35,10,Median,40,[   0  227  304  554  681  795  856  976 1046],8,250,61,130.75,499.80844772828743,2.7930143,0.10924091,460.51821385865475,4.4581986304906565,0.41774314641952515,264.3614609274715,0.9703064083061292
0,35,10,Mode,40,[   0  227  304  554  667  856  976 1046],7,250,70,149.42857142857142,628.5887818574607,3.0193377,0.114836074,472.76271042484586,2.7150232637371343,0.4255879819393158,279.8406647790443,0.9291492851996747
0,35,10,Median,40,[   0  227  304  554  682  795  856  976 1046],8,250,61,130.75,501.0410004730349,2.7973576,0.10962773,462.7338959981379,4.457947280705486,0.4194171726703644,268.0857337595367,0.9655829343169885
0,35,10,Mode,40,[   0  227  304  554  682  795  856  976 1046],8,250,61,130.75,501.0410004730349,2.7973576,0.10962773,462.7338959981379,4.457947280705486,0.4194171726703644,268.0857337595367,0.9655829343169885
0,35,10,Median,40,[   0  239  304  554  682  795  856  976 1046],8,250,61,130.75,489.70581108891434,2.7877288,0.11918935,463.61359117780864,4.466704388187598,0.4185212552547455,263.6148389611743,0.9719879654414771
0,35,10,Mode,40,[   0  239  304  554  682  795  856  976 1046],8,250,61,130.75,489.70581108891434,2.7877288,0.11918935,463.61359117780864,4.466704388187598,0.4185212552547455,263.6148389611743,0.9719879654414771
0,35,10,Median,40,[   0  239  304  554  682  795  856  976 1046],8,250,61,130.75,489.70581108891434,2.7877288,0.11918935,463.61359117780864,4.466704388187598,0.4185212552547455,263.6148389611743,0.9719879654414771
0,35,10,Mode,40,[   0  239  304  554  682  795  856  976 1046],8,250,61,130.75,489.70581108891434,2.7877288,0.11918935,463.61359117780864,4.466704388187598,0.4185212552547455,263.6148389611743,0.9719879654414771
0,35,10,Median,40,[   0  239  304  554  682  795  856  976 1046],8,250,61,130.75,489.70581108891434,2.7877288,0.11918935,463.61359117780864,4.466704388187598,0.4185212552547455,263.6148389611743,0.9719879654414771
0,35,10,Mode,40,[   0  239  304  554  682  795  856  976 1046],8,250,61,130.75,489.70581108891434,2.7877288,0.11918935,463.61359117780864,4.466704388187598,0.4185212552547455,263.6148389611743,0.9719879654414771
0,35,10,Median,40,[   0  239  304  556  682  795  856  976 1046],8,252,61,130.75,491.21039254286643,2.7950215,0.11989712,464.7883816302157,4.388944228707455,0.4201070964336395,266.05693000726615,0.9695385384388485
0,35,10,Mode,40,[   0  239  304  556  682  795  856  976 1046],8,252,61,130.75,491.21039254286643,2.7950215,0.11989712,464.7883816302157,4.388944228707455,0.4201070964336395,266.05693000726615,0.9695385384388485
0,35,10,Median,40,[   0  239  304  556  682  795  856  976 1046],8,252,61,130.75,491.21039254286643,2.7950215,0.11989712,464.7883816302157,4.388944228707455,0.4201070964336395,266.05693000726615,0.9695385384388485
0,35,10,Mode,40,[   0  239  304  556  682  795  856  976 1046],8,252,61,130.75,491.21039254286643,2.7950215,0.11989712,464.7883816302157,4.388944228707455,0.4201070964336395,266.05693000726615,0.9695385384388485
0,35,10,Median,40,[   0  239  304  556  682  795  856  976 1046],8,252,61,130.75,491.21039254286643,2.7950215,0.11989712,464.7883816302157,4.388944228707455,0.4201070964336395,266.05693000726615,0.9695385384388485
