,0,1,2,3,4,5,6
"Start-end time, sec","(11.5, 125.5)","(126.5, 283.5)","(284.5, 358.5)","(359.5, 533.5)","(534.5, 734.5)","(735.5, 873.5)","(874.5, 976.5)"
"Time length, sec",114.0,157.0,74.0,174.0,200.0,138.0,102.0
Number of epochs,111,155,71,168,190,131,96
