,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 298.5)","(300.5, 484.5)","(485.5, 795.5)","(796.5, 854.5)","(855.5, 1036.5)","(1037.5, 1451.5)","(1452.5, 1755.5)"
"Time length, sec",293.0,184.0,310.0,58.0,181.0,414.0,303.0
Number of epochs,282,176,292,57,175,382,278
