,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 182.5)","(183.5, 498.5)","(499.5, 832.5)","(833.5, 925.5)","(926.5, 1357.5)","(1358.5, 1546.5)","(1547.5, 1811.5)","(1812.5, 2165.5)","(2166.5, 2868.5)","(2869.5, 3016.5)"
"Time length, sec",174.0,315.0,333.0,92.0,431.0,188.0,264.0,353.0,702.0,147.0
Number of epochs,161,291,310,85,409,170,250,326,677,145
