,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 48.3)","(49.1, 193.1)","(193.9, 261.9)","(262.7, 444.3)","(445.1, 506.7)","(507.5, 620.3)","(621.1, 758.7)","(759.5, 877.1)","(877.9, 938.7)"
"Time length, sec",38.4,144.0,67.99999999999997,181.60000000000002,61.599999999999966,112.79999999999995,137.60000000000002,117.60000000000002,60.80000000000007
Number of epochs,44,159,77,199,75,128,160,134,70
