Dimension,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
dim-5,26.170781893004115,0.0,0.0,0.00552408859798508,0.0022319152984114415,15874.295267489711,16789.616255144032,-915.320987654321
dim-4,96.8179012345679,0.02800033920089034,0.006651128439264152,0.025067111273504746,0.010127945659438581,15668.387860082305,14874.78755144033,793.6003086419753
dim-3,260.3106172839506,0.5966982732415393,0.14413387965929125,0.05168768877999736,0.020883543281634585,10005.155555555555,13432.584197530865,-3427.4286419753084
dim-2,639.5642924976258,0.7064574523975137,0.16899776129338728,0.19867887763170886,0.0802728664813901,9413.876353276353,9460.42849002849,-46.552136752136754
dim-1,792.3698005698005,0.9012347379664571,0.21224015951293385,0.32330496084285715,0.13062594405540232,7961.800189933523,7122.04710351377,839.7530864197531
all,1040.5272727272727,1.0611654573276366,0.2522491022500938,0.4352401253613557,0.17585146889766576,6253.427972027972,5080.699300699301,1172.7286713286712
norm-1,1007.5538461538462,1.1789343488699902,0.27672227883922473,0.4155491715854525,0.16789566945795706,5580.736094674557,4823.90650887574,756.8295857988165
norm-2,1007.5550295857988,1.1971077717826122,0.28049883971489203,0.4193340918623585,0.16942490298118035,5496.791715976331,4686.801183431952,809.9905325443787
