Algorithm,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF
numberofpoints,25.88177339901478,0.0,0.0,0.22784926288434965,0.0920586711351518,16006.783251231527,8536.699507389163,7470.083743842364
betti,63.01298701298701,0.03018094900352529,0.008715986031375498,0.07168155917897108,0.028961731099658,15469.769368562473,13762.557545902373,1707.2118226600985
amplitude-betti-1,279.34834834834834,0.44418340854306165,0.10478737559440965,0.37421574261965557,0.15119559109965305,12021.63063063063,6857.870870870871,5163.75975975976
amplitude-betti-2,494.68468468468467,0.5259332147103005,0.1278741269227163,0.2880054209785446,0.11636375733399802,10578.981981981982,7216.372372372372,3362.60960960961
landscape,512.4603672189879,0.6306830663483329,0.14946262888575587,0.154107669241351,0.06226461767969468,10189.747872816839,11446.793103448275,-1257.0452306314376
silhouette-2,512.4903716972683,0.6697429524802921,0.15757953886376147,0.13905763967962084,0.0561839057894795,10053.03000447828,11510.173309449172,-1457.1433049708912
silhouette-1,512.4823107926557,0.6775757967921999,0.15920725718164636,0.14131187211000468,0.057094690574753235,9975.384684281236,11474.820420958353,-1499.435736677116
entropy,605.8571428571429,0.6936401374450897,0.16477656079775085,0.2401304066440197,0.0970206611816539,9721.793103448275,9140.655172413793,581.1379310344828
bd2,759.4192672998643,0.7602473241894201,0.18283819493625297,0.3225210399709417,0.13030921398206313,8803.39382632293,7925.006784260516,878.3870420624152
life,758.6950474898237,0.7715157140646426,0.18517984298676823,0.25897696811018905,0.1046352980783427,8581.188263229307,8373.355834464044,207.83242876526458
amplitude-bottleneck,843.4264264264265,0.8100066681973145,0.19557794895036792,0.2723366721602007,0.11003306231086174,8108.288288288289,7693.8348348348345,414.45345345345345
amplitude-wasserstein-2,843.4624624624624,0.8684326862321642,0.2077192728436339,0.34027313433328843,0.13748164981167982,7925.57057057057,7398.843843843844,526.7267267267267
amplitude-wasserstein-1,843.4414414414415,0.905606505394476,0.2154442452785192,0.39302740600137204,0.15879612801094256,7735.48948948949,6764.258258258258,971.2312312312313
amplitude-landscape-2-2,832.6876876876877,0.9718527334622336,0.22921066200057028,0.29486535337808983,0.11913539790366558,7177.747747747748,7519.711711711711,-341.963963963964
amplitude-landscape-2-1,832.6876876876877,0.9848424978697834,0.23191002338568487,0.28662427397046625,0.11580572806238032,7097.0960960960965,7551.741741741742,-454.64564564564563
amplitude-silhouette-2-2,832.6876876876877,1.0266917903841284,0.24060659098023873,0.2550619833628465,0.10305351418844845,6899.90990990991,7773.135135135135,-873.2252252252252
amplitude-silhouette-2-1,832.6876876876877,1.0518003606664823,0.24582432264411933,0.26482182875188837,0.10699681593814853,6749.798798798799,7562.171171171171,-812.3723723723724
amplitude-landscape-1-2,832.6876876876877,1.1248979026308532,0.2610144889885321,0.3015634689088585,0.1218416590829491,6431.783783783784,7466.825825825826,-1035.042042042042
amplitude-landscape-1-1,832.6876876876877,1.1675690837162964,0.26988185061768755,0.29008350814907,0.11720337358291553,6198.738738738739,7517.375375375375,-1318.6366366366367
amplitude-silhouette-1-2,832.6876876876877,1.231057096963129,0.28307509154179045,0.2669488032051043,0.10785618427326078,5907.927927927928,7664.624624624625,-1756.6966966966968
amplitude-silhouette-1-1,832.6876876876877,1.2347228765643685,0.283836865473285,0.27830766289579273,0.11244554091851873,5880.144144144144,7443.321321321321,-1563.177177177177
