name,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF,Source,Algorithm,Dimension,Stat
channel-0 betti dim-1 max,31,0.0,0.0,0.2341171108748795,0.09459108993511159,14671,5573,9098,channel-0,betti,dim-1,max
channel-0 betti dim-1 mean,1,0.0,0.0,0.0,0.0,15563,19543,-3980,channel-0,betti,dim-1,mean
channel-0 betti dim-1 std,376,0.6052089237894117,0.1574982336963555,0.3497745193630335,0.14132052499042339,8749,4204,4545,channel-0,betti,dim-1,std
channel-0 betti dim-1 sum,1,0.0,0.0,0.0,0.0,16299,18356,-2057,channel-0,betti,dim-1,sum
channel-0 betti dim-1 percentile-25,1,0.0,0.0,0.0,0.0,16300,18354,-2054,channel-0,betti,dim-1,percentile-25
channel-0 betti dim-1 median,1,0.0,0.0,0.0,0.0,16301,18346,-2045,channel-0,betti,dim-1,median
channel-0 betti dim-1 percentile-75,1,0.0,0.0,0.0,0.0,16302,18353,-2051,channel-0,betti,dim-1,percentile-75
channel-0 betti dim-1 kurtosis,1036,0.445069900158122,0.1242202555069274,0.1419573517963006,0.05735548581022124,10054,8929,1125,channel-0,betti,dim-1,kurtosis
channel-0 betti dim-1 skew,1028,0.1068197049017535,0.0539295645493745,0.1231120905464465,0.04974137424411575,12207,10076,2131,channel-0,betti,dim-1,skew
channel-0 betti dim-1 norm-1,37,0.0,0.0,0.4303773669778763,0.17388675297465817,16303,3591,12712,channel-0,betti,dim-1,norm-1
channel-0 betti dim-1 norm-2,376,0.6052089237894116,0.1574982336963555,0.3497745193630335,0.14132052499042339,8750,4205,4545,channel-0,betti,dim-1,norm-2
channel-0 betti dim-2 max,8,0.0,0.0,0.1451382204651448,0.05864066241778336,16304,8735,7569,channel-0,betti,dim-2,max
channel-0 betti dim-2 mean,1,0.0,0.0,0.0,0.0,16305,18352,-2047,channel-0,betti,dim-2,mean
channel-0 betti dim-2 std,39,0.0,0.0,0.2167251459913514,0.08756415837808704,16306,5946,10360,channel-0,betti,dim-2,std
channel-0 betti dim-2 sum,1,0.0,0.0,0.0,0.0,16307,18351,-2044,channel-0,betti,dim-2,sum
channel-0 betti dim-2 percentile-25,1,0.0,0.0,0.0,0.0,16308,18350,-2042,channel-0,betti,dim-2,percentile-25
channel-0 betti dim-2 median,1,0.0,0.0,0.0,0.0,16309,18349,-2040,channel-0,betti,dim-2,median
channel-0 betti dim-2 percentile-75,1,0.0,0.0,0.0,0.0,16310,18348,-2038,channel-0,betti,dim-2,percentile-75
channel-0 betti dim-2 kurtosis,100,0.0,0.0,0.1688085432611769,0.06820425913237461,16311,7571,8740,channel-0,betti,dim-2,kurtosis
channel-0 betti dim-2 skew,110,0.0,0.0,0.0979287032205846,0.03956644919694804,16312,11146,5166,channel-0,betti,dim-2,skew
channel-0 betti dim-2 norm-1,14,0.0,0.0,0.152790433276385,0.061732410592556776,16313,8306,8007,channel-0,betti,dim-2,norm-1
channel-0 betti dim-2 norm-2,39,0.0,0.0,0.2167251459913514,0.08756415837808704,16298,5947,10351,channel-0,betti,dim-2,norm-2
channel-0 landscape dim-1 max,1046,2.0485833419512147,0.4574412539395606,0.497362358187109,0.20095091459914305,1094,2889,-1795,channel-0,landscape,dim-1,max
channel-0 landscape dim-1 mean,1046,2.4578664251270856,0.5424930620896341,0.4994934207090817,0.20181193464983468,434,2868,-2434,channel-0,landscape,dim-1,mean
channel-0 landscape dim-1 std,1046,2.2358986421156826,0.4963666472139166,0.5262619399569187,0.2126273056500139,770,2615,-1845,channel-0,landscape,dim-1,std
channel-0 landscape dim-1 sum,1046,2.4578664251270856,0.5424930620896341,0.4994934207090817,0.20181193464983468,432,2870,-2438,channel-0,landscape,dim-1,sum
channel-0 landscape dim-1 percentile-25,1,0.0,0.0,0.0,0.0,16296,18357,-2061,channel-0,landscape,dim-1,percentile-25
channel-0 landscape dim-1 median,1,0.0,0.0,0.0,0.0,16279,18326,-2047,channel-0,landscape,dim-1,median
channel-0 landscape dim-1 percentile-75,42,0.0,0.0,0.0,0.0,16295,18358,-2063,channel-0,landscape,dim-1,percentile-75
channel-0 landscape dim-1 kurtosis,1046,1.3095160662663383,0.3038580477787119,0.3607097985747793,0.14573874105125892,4064,4130,-66,channel-0,landscape,dim-1,kurtosis
channel-0 landscape dim-1 skew,1046,1.2943481158367145,0.3007060445247297,0.3672785496461461,0.14839273469158318,4141,4073,68,channel-0,landscape,dim-1,skew
channel-0 landscape dim-1 norm-1,1046,2.4578664251270856,0.5424930620896341,0.4994934207090817,0.20181193464983468,433,2869,-2436,channel-0,landscape,dim-1,norm-1
channel-0 landscape dim-1 norm-2,1046,2.281222359224244,0.5057852238681321,0.5189362017792928,0.20966746407238895,698,2689,-1991,channel-0,landscape,dim-1,norm-2
channel-0 landscape dim-2 max,1026,1.1183805035884415,0.2641387779730958,0.1783564864404233,0.07206194535013298,5293,7166,-1873,channel-0,landscape,dim-2,max
channel-0 landscape dim-2 mean,1026,1.49672936365884,0.3427622441833494,0.1878029952565404,0.0758786487156367,3030,6777,-3747,channel-0,landscape,dim-2,mean
channel-0 landscape dim-2 std,1026,1.2904461234244315,0.2998951839646563,0.1784147565833459,0.07208548842355093,4161,7163,-3002,channel-0,landscape,dim-2,std
channel-0 landscape dim-2 sum,1026,1.49672936365884,0.3427622441833495,0.1878029952565404,0.0758786487156367,3031,6776,-3745,channel-0,landscape,dim-2,sum
channel-0 landscape dim-2 percentile-25,1,0.0,0.0,0.0,0.0,16280,18333,-2053,channel-0,landscape,dim-2,percentile-25
channel-0 landscape dim-2 median,1,0.0,0.0,0.0,0.0,16281,18332,-2051,channel-0,landscape,dim-2,median
channel-0 landscape dim-2 percentile-75,1,0.0,0.0,0.0,0.0,16282,18331,-2049,channel-0,landscape,dim-2,percentile-75
channel-0 landscape dim-2 kurtosis,973,0.5718383685296307,0.1505636053657809,0.1297702224117049,0.05243148069431485,8986,9670,-684,channel-0,landscape,dim-2,kurtosis
