,0,1,2,3,4,5
"Start-end time, sec","(5.5, 357.5)","(358.5, 1018.5)","(1019.5, 1421.5)","(1422.5, 1897.5)","(1898.5, 2229.5)","(2230.5, 2346.5)"
"Time length, sec",352.0,660.0,402.0,475.0,331.0,116.0
Number of epochs,337,624,378,450,311,111
