,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 361.5)","(362.5, 608.5)","(609.5, 708.5)","(709.5, 1053.5)","(1054.5, 1117.5)","(1118.5, 1318.5)","(1319.5, 1593.5)","(1594.5, 1765.5)"
"Time length, sec",356.0,246.0,99.0,344.0,63.0,200.0,274.0,171.0
Number of epochs,332,220,98,314,64,191,252,161
