,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(6.5, 381.5)","(382.5, 937.5)","(938.5, 1428.5)","(1429.5, 1558.5)","(1559.5, 1765.5)","(1766.5, 2035.5)","(2036.5, 2564.5)","(2565.5, 2760.5)","(2761.5, 3186.5)"
"Time length, sec",375.0,555.0,490.0,129.0,206.0,269.0,528.0,195.0,425.0
Number of epochs,355,511,458,128,187,250,486,178,403
