,Feature,true,internal,external,internal-diff,external-diff
0,channel-0 betti dim-1 max,0.3547716195332563,0.23729141400970544,0.3145531181579474,0.11748020552355087,0.04021850137530891
1,channel-0 betti dim-1 mean,0.0,0.0,0.0,0.0,0.0
2,channel-0 betti dim-1 std,0.49389237075484144,0.3467755982125327,0.42063361608420785,0.14711677254230876,0.07325875467063359
3,channel-0 betti dim-1 sum,0.0,0.0,0.0,0.0,0.0
4,channel-0 betti dim-1 percentile-25,0.0,0.0,0.0,0.0,0.0
5,channel-0 betti dim-1 median,0.0,0.0,0.0,0.0,0.0
6,channel-0 betti dim-1 percentile-75,0.0,0.0,0.0,0.0,0.0
7,channel-0 betti dim-1 percentile-90,0.00830429504987182,0.004967138378489423,0.006195732834980721,0.0033371566713823967,0.0021085622148910993
8,channel-0 betti dim-1 kurtosis,0.20214988895105032,0.18114630599739756,0.19153031184119199,0.02100358295365276,0.010619577109858336
9,channel-0 betti dim-1 skew,0.10996336210137946,0.08959810833227048,0.09995444895367864,0.02036525376910897,0.010008913147700818
10,channel-0 betti dim-1 norm-1,0.4923374221765627,0.3705133273528559,0.4354871847117013,0.12182409482370676,0.0568502374648614
11,channel-0 betti dim-1 norm-2,0.49389237075484144,0.3467755982125327,0.42063361608420785,0.14711677254230876,0.07325875467063359
12,channel-0 betti dim-2 max,0.23885958078344696,0.1244038161923678,0.21156020782359844,0.11445576459107916,0.027299372959848522
13,channel-0 betti dim-2 mean,0.0,0.0,0.0,0.0,0.0
14,channel-0 betti dim-2 std,0.33601148229926886,0.18246067775475086,0.28335661444456534,0.153550804544518,0.052654867854703524
15,channel-0 betti dim-2 sum,0.0,0.0,0.0,0.0,0.0
16,channel-0 betti dim-2 percentile-25,0.0,0.0,0.0,0.0,0.0
17,channel-0 betti dim-2 median,0.0,0.0,0.0,0.0,0.0
18,channel-0 betti dim-2 percentile-75,0.0,0.0,0.0,0.0,0.0
19,channel-0 betti dim-2 percentile-90,0.0,0.0,0.0,0.0,0.0
20,channel-0 betti dim-2 kurtosis,0.18303483847967286,0.11902419509741508,0.18048136355237757,0.06401064338225779,0.002553474927295296
21,channel-0 betti dim-2 skew,0.11173917171225173,0.07619973263821127,0.10556557883154855,0.03553943907404046,0.006173592880703183
22,channel-0 betti dim-2 norm-1,0.23712035992796066,0.10284183371107654,0.16777234773749294,0.13427852621688413,0.06934801219046771
23,channel-0 betti dim-2 norm-2,0.33601148229926886,0.18246067775475086,0.28335661444456534,0.153550804544518,0.052654867854703524
24,channel-0 landscape dim-1 max,0.6639574360381661,0.5200836597442993,0.6342560249502648,0.14387377629386688,0.029701411087901364
25,channel-0 landscape dim-1 mean,0.6377033867578537,0.5112629087105037,0.6165676659482332,0.12644047804734992,0.02113572080962045
26,channel-0 landscape dim-1 std,0.6616643690472833,0.5482669203587585,0.6489036322052705,0.11339744868852486,0.012760736842012843
27,channel-0 landscape dim-1 sum,0.6377033867578537,0.5112629087105037,0.6165676659482332,0.12644047804734992,0.02113572080962045
28,channel-0 landscape dim-1 percentile-25,0.0,0.0,0.0,0.0,0.0
29,channel-0 landscape dim-1 median,0.0,0.0,0.0,0.0,0.0
30,channel-0 landscape dim-1 percentile-75,0.0,0.0,0.0,0.0,0.0
31,channel-0 landscape dim-1 percentile-90,0.40301167915138536,0.32675495823517736,0.41453797692658995,0.076256720916208,-0.011526297775204586
32,channel-0 landscape dim-1 kurtosis,0.4776057970043052,0.41664013108305914,0.4493518515392904,0.06096566592124608,0.028253945465014807
33,channel-0 landscape dim-1 skew,0.47960078167077125,0.4270285554420277,0.4516243158138036,0.052572226228743524,0.02797646585696767
34,channel-0 landscape dim-1 norm-1,0.6377033867578537,0.5112629087105037,0.6165676659482332,0.12644047804734992,0.02113572080962045
35,channel-0 landscape dim-1 norm-2,0.6613139358508691,0.5426165742194367,0.653628067488454,0.11869736163143241,0.007685868362415027
36,channel-0 landscape dim-2 max,0.19903308478145826,0.17047201634474873,0.1822905239138876,0.028561068436709525,0.01674256086757067
37,channel-0 landscape dim-2 mean,0.2557945705228136,0.19897682233211578,0.20843425027258247,0.05681774819069785,0.04736032025023115
38,channel-0 landscape dim-2 std,0.20040056352321425,0.18818906646840436,0.19086753484938887,0.012211497054809894,0.009533028673825383
