,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 223.5)","(224.5, 585.5)","(586.5, 777.5)","(778.5, 1027.5)","(1028.5, 1184.5)","(1185.5, 1323.5)","(1324.5, 1410.5)","(1411.5, 2007.5)","(2008.5, 2090.5)","(2091.5, 2419.5)","(2420.5, 2699.5)"
"Time length, sec",218.0,361.0,191.0,249.0,156.0,138.0,86.0,596.0,82.0,328.0,279.0
Number of epochs,211,341,174,246,147,129,83,572,79,309,263
