,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(5.5, 597.5)","(598.5, 798.5)","(799.5, 1297.5)","(1298.5, 1536.5)","(1537.5, 2036.5)","(2037.5, 2101.5)","(2102.5, 2359.5)","(2360.5, 2486.5)","(2487.5, 2825.5)","(2826.5, 3054.5)","(3058.5, 3360.5)","(3361.5, 3562.5)"
"Time length, sec",592.0,200.0,498.0,238.0,499.0,64.0,257.0,126.0,338.0,228.0,302.0,201.0
Number of epochs,560,190,476,223,471,60,243,115,317,213,291,194
