,0,1,2,3,4,5,6
"Start-end time, sec","(11.5, 93.5)","(94.5, 266.5)","(267.5, 353.5)","(354.5, 526.5)","(527.5, 670.5)","(671.5, 850.5)","(851.5, 976.5)"
"Time length, sec",82.0,172.0,86.0,172.0,143.0,179.0,125.0
Number of epochs,83,166,83,167,132,172,119
