,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 198.5)","(199.5, 386.5)","(387.5, 575.5)","(576.5, 676.5)","(677.5, 951.5)","(952.5, 1063.5)","(1064.5, 1261.5)","(1262.5, 1319.5)"
"Time length, sec",193.0,187.0,188.0,100.0,274.0,111.0,197.0,57.0
Number of epochs,185,173,183,97,264,100,189,58
