thresholds,num_features,explained_variances_reduced,explained_variances_all,fmi_s,silh_15,silh_reduced,silh_all
0.5,3621.0,0.5637633909599008,0.5502313531269071,0.7332329056012522,0.1740661395443087,0.10104412134492796,0.09673930297880481
0.75,3299.0,0.5837029879564587,0.547680430252845,0.6941260137415562,0.1844582610543833,0.11238035834463128,0.1008666220375443
1.0,2826.0,0.6042867330063496,0.5427390225828089,0.7214980102018793,0.20235323620883422,0.12954953026693466,0.10871508182767946
1.25,2213.0,0.6282400102579053,0.5322491695187258,0.684291761922641,0.1756097464020435,0.11517259628020202,0.08946399825699276
1.5,1577.0,0.6612569544972149,0.5137740525951084,0.8434650208850127,0.1982923492345563,0.12858797961572696,0.09195050102770724
1.75,1056.0,0.6947835832657481,0.48964620807823694,0.6867051896151761,0.21585341034084746,0.15081988984401007,0.10510390620549277
2.0,645.0,0.7398476283273095,0.4486817083907497,0.628264726592298,0.21375664303961867,0.15615159938362408,0.09027469264796453
2.25,420.0,0.7871185106349126,0.4186828172599828,0.7047984701008702,0.19833516419376895,0.15372842954943716,0.10426720658999601
2.5,246.0,0.815512318581862,0.3951997337484223,0.6271851106323086,0.2050144251195595,0.16495353975307836,0.0874374677204588
2.75,145.0,0.8772347109385554,0.3593952654341785,0.654539506580271,0.20669210635966967,0.18489226479677848,0.08606637308761494
3.0,94.0,0.9212582723250007,0.3409101650286073,0.6453900293717982,0.20423286893268497,0.18738075814866223,0.09117139672153035
3.25,56.0,0.9820686949709067,0.29124790021160524,0.6389397233463208,0.15223935362697388,0.1489708233082355,0.07702997438519485
3.5,33.0,0.9939940861806638,0.2667748212060568,0.5407527672866137,0.16943422357768334,0.16778268414508685,0.0752622711962932
3.75,28.0,0.99832742194964,0.20926038926949822,0.592096551112954,0.1743801444795574,0.17402934914598336,0.0681978380198741
4.0,20.0,0.9999792770816447,0.20091156680592717,0.5451054203755578,0.19946419065986495,0.19945801533037688,0.07546235913335175
4.25,15.0,1.0,0.1851809006231071,0.5740358749723307,0.31467174046289076,0.3146717404628907,0.0892896407715432
