,0,1,2,3,4,5,6,7
"Start-end time, sec","(5.5, 198.5)","(199.5, 327.5)","(328.5, 575.5)","(576.5, 692.5)","(693.5, 814.5)","(815.5, 1063.5)","(1064.5, 1261.5)","(1262.5, 1319.5)"
"Time length, sec",193.0,128.0,247.0,116.0,121.0,248.0,197.0,57.0
Number of epochs,185,125,231,112,119,230,189,58
