,IV,feature
0,1.8945558093300194,greyscale -> betti-0
1,1.8972061348984128,greyscale -> betti-1
2,1.8811237155166158,greyscale -> betti-2
3,0.6387903413146725,greyscale -> betti-3
4,0.16694347242324606,greyscale -> betti-4
5,0.16709437095515872,greyscale -> betti-5
6,0.18900132432156524,greyscale -> betti-6
7,0.2590042452904153,greyscale -> betti-7
8,1.6494986515964678,greyscale -> landscape-0
9,1.649296772254473,greyscale -> landscape-1
10,1.6500530339752342,greyscale -> landscape-2
11,1.6250435287787566,greyscale -> landscape-3
12,0.011489612477560413,greyscale -> landscape-4
13,0.01130440962646228,greyscale -> landscape-5
14,0.012593532136281484,greyscale -> landscape-6
15,0.011304637182869844,greyscale -> landscape-7
16,0.6419144549688747,greyscale -> landscape-8
17,0.6419144549688747,greyscale -> landscape-9
18,0.6437663683617606,greyscale -> landscape-10
19,0.6445432970872186,greyscale -> landscape-11
20,0.11101315961100318,greyscale -> landscape-12
21,0.1109502550283012,greyscale -> landscape-13
22,0.1113351292887942,greyscale -> landscape-14
23,0.11043805299579455,greyscale -> landscape-15
24,0.0,greyscale -> landscape-16
25,0.0,greyscale -> landscape-17
26,0.0,greyscale -> landscape-18
27,0.0,greyscale -> landscape-19
28,0.13113783837111226,greyscale -> landscape-20
29,0.13113783837111226,greyscale -> landscape-21
30,0.13117018678133963,greyscale -> landscape-22
31,0.12991188211126836,greyscale -> landscape-23
32,1.65912710234628,greyscale -> silhouette-0
33,1.65912710234628,greyscale -> silhouette-1
34,1.6544384233752178,greyscale -> silhouette-2
35,1.6485698930121788,greyscale -> silhouette-3
36,0.17864602720866293,greyscale -> silhouette-4
37,0.17864602720866293,greyscale -> silhouette-5
38,0.17376063098825822,greyscale -> silhouette-6
39,0.16354154553576092,greyscale -> silhouette-7
40,1.6561110916219004,greyscale -> silhouette-8
41,1.6561050886269089,greyscale -> silhouette-9
42,1.653469770992761,greyscale -> silhouette-10
43,1.6533251061475474,greyscale -> silhouette-11
44,0.1466173285377044,greyscale -> silhouette-12
45,0.1466173285377044,greyscale -> silhouette-13
46,0.14640672319083203,greyscale -> silhouette-14
47,0.14460657814124775,greyscale -> silhouette-15
48,0.5264244231633299,greyscale -> entropy-0
49,0.2040955184581844,greyscale -> entropy-1
50,0.5878290013099371,greyscale -> number_of_points-0
51,0.2854363309854569,greyscale -> number_of_points-1
52,0.40438970818851144,greyscale -> heat-0
53,1.3849424646492488,greyscale -> heat-1
54,1.492653230842639,greyscale -> heat-2
55,0.454663142322862,greyscale -> heat-3
56,0.09243845017399427,greyscale -> heat-4
57,0.19384475089599013,greyscale -> heat-5
58,0.22055984555324282,greyscale -> heat-6
59,0.21225875039143377,greyscale -> heat-7
60,0.24336876706646068,greyscale -> heat-8
61,1.847712489576909,greyscale -> heat-9
62,1.849013281798253,greyscale -> heat-10
63,1.8697740065125632,greyscale -> heat-11
64,0.0637859776267691,greyscale -> heat-12
65,0.16278287518758736,greyscale -> heat-13
66,0.1630056264647021,greyscale -> heat-14
67,0.1673235541629723,greyscale -> heat-15
68,0.3371204533273414,greyscale -> heat-16
69,1.8488263934453977,greyscale -> heat-17
70,1.846151756688184,greyscale -> heat-18
71,1.8432136319259567,greyscale -> heat-19
72,0.016924506742485787,greyscale -> heat-20
73,0.1702730191876087,greyscale -> heat-21
74,0.16968110523369184,greyscale -> heat-22
75,0.16950764024596746,greyscale -> heat-23
76,1.2522056994496196,greyscale -> persistence_image-0
77,1.2616070184952315,greyscale -> persistence_image-1
78,1.2746325059333732,greyscale -> persistence_image-2
79,0.3732517401371152,greyscale -> persistence_image-3
80,0.24935269460709492,greyscale -> persistence_image-4
81,0.24980530711122442,greyscale -> persistence_image-5
82,0.27701916139991134,greyscale -> persistence_image-6
83,0.25079262097650984,greyscale -> persistence_image-7
84,1.168936535764513,greyscale -> persistence_image-8
85,1.1700728345619664,greyscale -> persistence_image-9
86,1.1974297270970466,greyscale -> persistence_image-10
87,0.6142877974518299,greyscale -> persistence_image-11
88,0.24064269029661972,greyscale -> persistence_image-12
89,0.24066445708366235,greyscale -> persistence_image-13
90,0.24822832802442393,greyscale -> persistence_image-14
91,0.28809818375417795,greyscale -> persistence_image-15
92,1.1684433712355256,greyscale -> persistence_image-16
93,1.1785338183530518,greyscale -> persistence_image-17
94,1.1795391104984025,greyscale -> persistence_image-18
95,0.6145149440750455,greyscale -> persistence_image-19
96,0.2789627994207619,greyscale -> persistence_image-20
97,0.2789627994207619,greyscale -> persistence_image-21
98,0.27888418140894317,greyscale -> persistence_image-22
99,0.2791499826385543,greyscale -> persistence_image-23
