Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.87,0.9880313376425092,0.7976561356771743,0.8595003974144518,0.8240012914478296,0.8958,0.9038,0.9098,0.9104,0.9429
0.9558,0.9983592927170398,0.955292644776289,0.9554426459699318,0.9552410394891829,0.9857,0.993,0.9983,0.9996,1.0
0.9616,0.9987488029429018,0.961191445078296,0.9612847268557809,0.9611527053346715,0.9877,0.9946,0.9984,0.9997,1.0
0.9641,0.9989565289490111,0.9638512219310575,0.9636753658675511,0.9637059542400198,0.9883,0.9955,0.9989,0.9998,1.0
0.9666,0.9990738924913046,0.9663639296050045,0.9661864912125931,0.9662447887511936,0.9912,0.9959,0.9991,0.9998,1.0
0.968,0.9991532379339847,0.9677292766585663,0.967718151470972,0.9676354473384702,0.991,0.9959,0.9991,0.9998,1.0
0.969,0.9992335697088022,0.9687917102280055,0.9686440211324262,0.9686735595936419,0.9919,0.9961,0.999,0.9998,1.0
0.9697,0.9992503082032027,0.969495194043632,0.969409498862038,0.9693590418544854,0.991,0.9961,0.9991,0.9997,1.0
0.9711,0.9993085958689358,0.9708040361977597,0.9708651695120321,0.9707919315744808,0.992,0.9967,0.9994,0.9998,1.0
0.972,0.9993322348083107,0.9719320951138656,0.9716259400878855,0.9717275627200962,0.9932,0.9969,0.9993,0.9997,1.0
