,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 110.5)","(111.5, 155.5)","(156.5, 368.5)","(369.5, 440.5)","(441.5, 514.5)","(515.5, 620.5)","(621.5, 683.5)","(684.5, 940.5)","(941.5, 1083.5)","(1084.5, 1133.5)","(1134.5, 1334.5)"
"Time length, sec",105.0,44.0,212.0,71.0,73.0,105.0,62.0,256.0,142.0,49.0,200.0
Number of epochs,100,44,206,66,72,94,62,249,134,47,190
