St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,35,10,Median,40,[   0  185  681 1046],3,496,185,348.6666666666667,36279.80745735437,14.04954642428626,0.02182168049863273,25.99253354429901,8.236912524799052,0.043833164930375354,24.310723796584956,6.910553483895437
0,35,10,Mode,40,[   0  141  556 1046],3,490,141,348.6666666666667,27702.982395204413,13.8414248138175,0.0039333863972808,24.504159007035593,5.649921316673357,0.04279167963365641,19.73880871666902,5.111192614207877
0,35,10,Median,40,[   0  185  659 1046],3,474,185,348.6666666666667,35373.26845190655,13.979104064791143,0.021982731896535417,26.122196216367307,8.114058931592584,0.04344609927784338,23.68225555959448,6.841570312962019
0,35,10,Mode,40,[   0  141  556 1046],3,490,141,348.6666666666667,27702.982395204413,13.8414248138175,0.0039333863972808,24.504159007035593,5.649921316673357,0.04279167963365641,19.73880871666902,5.111192614207877
0,35,10,Median,40,[   0  185  659  806 1046],4,474,147,261.5,31482.919082307704,15.632722662866469,0.010312239599988457,21.105863719814653,7.4640897422151316,0.03667982213542285,21.18600854421955,4.477050391260399
0,35,10,Mode,40,[   0  141  556  806 1046],4,415,141,261.5,21495.436075056947,12.820598680162567,-0.00046041568321475754,18.61741054192196,6.523362394461847,0.04565712758141404,15.037550734800751,5.798622449399492
0,35,10,Median,40,[   0  142  252  659  806 1046],5,407,110,209.2,17506.44950225431,13.596189372423678,-0.00797239130779183,18.0570129316443,8.09132132680373,0.01923443185754794,11.896022844226886,5.001460015667779
0,35,10,Mode,40,[   0  141  252  556  806 1046],5,304,111,209.2,13099.039939910337,11.354759913631714,-0.013020189187525687,17.648749696716035,7.514374581850009,0.03562609610068388,9.218039531483637,6.158756871314195
0,35,10,Median,40,[   0  142  252  556  659  806 1046],6,304,103,174.33333333333334,27418.078805159894,18.29753936704113,-0.007356804009338903,21.343030703107715,6.561186336359611,0.07973495628887986,18.774193586563868,4.159500041398621
0,35,10,Mode,40,[   0  141  252  556  659  806 1046],6,304,103,174.33333333333334,27603.51191850698,18.379250413602527,-0.003041255141601604,21.380570255289978,6.528348789939788,0.08319010187225198,18.729298347477215,4.147259187238851
0,35,10,Median,40,[   0  142  185  252  556  659  806 1046],7,304,43,149.42857142857142,21535.1232020021,17.30061349799172,-0.018640588180885386,18.383238111262916,6.055172532852266,0.06680187080182537,14.6199682539104,4.155777488986405
0,35,10,Mode,40,[   0  141  185  252  556  659  806 1046],7,304,44,149.42857142857142,21857.990248648897,17.68474027438275,-0.01590022979278142,18.52340385393359,5.9566813239856815,0.07610657695214286,14.714828716933205,4.088513967072848
0,35,10,Median,40,[   0  142  185  252  508  556  659  806 1046],8,256,43,130.75,14210.594251163977,15.632276502374777,-0.02398278683420912,16.25695107215957,6.044835319838193,0.040612961219259676,9.439785683997451,4.479220191332955
0,35,10,Mode,40,[   0  141  185  252  508  556  659  806 1046],8,256,44,130.75,14487.337434004086,15.961528024995662,-0.021257497153968987,16.377732744670304,5.958655512079932,0.04858842363381751,9.521094652302711,4.421565743978477
0,35,10,Median,40,[   0  142  185  252  508  556  659  842 1046],8,256,43,130.75,14520.00896321341,15.512576181083599,-0.02384583649067569,16.354200765471052,5.973795751116338,0.04348278651110946,9.956997806492756,4.48980653982525
0,35,10,Mode,40,[   0  141  185  252  508  556  659  842 1046],8,256,44,130.75,14796.752146053519,15.841827703704483,-0.02114339262238319,16.475125303880258,5.887615943358076,0.051458248925667305,10.038306774798018,4.432152092470772
0,35,10,Median,40,[   0  142  185  275  508  556  659  842 1046],8,233,43,130.75,15000.983665239733,15.706784936860865,-0.02444709742144355,16.544526084492936,5.954891008580236,0.049244420949131486,10.27857425595909,4.46656991481597
0,35,10,Mode,40,[   0  141  185  275  508  556  659  842 1046],8,233,44,130.75,15298.780667522642,16.025677895860657,-0.019218873198087977,16.66573046726066,5.863619777518957,0.058517461929475746,10.387125930231116,4.414815572506492
0,35,10,Median,40,[   0  142  185  275  508  556  681  806 1046],8,240,43,130.75,15516.024126805423,15.930394348133575,-0.0232119307386959,16.685677422280516,5.9340227615043215,0.042402548234317175,10.401258046890067,4.370610371670836
