,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0, , , , , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , , ,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 25.1],numeric__TotalCharges [20.05; 25.1]
1, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 70.85],numeric__TotalCharges [20.05; 70.85]
2, , ,categorical__InternetService_No, , ,categorical__Contract_Month-to-month, , , , ,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, , ,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [19.9; 20.05],numeric__TotalCharges [19.9; 20.05]
3, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , , ,categorical__Dependents_No, , , ,numeric__tenure [1.0; 2.0],numeric__MonthlyCharges [20.05; 24.35],numeric__TotalCharges [20.05; 41.85]
4, , , ,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male, , , , ,numeric__tenure [1.0; 22.0],numeric__MonthlyCharges [20.05; 40.05],numeric__TotalCharges [20.05; 880.2]
5, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , , , , , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male, , , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [19.9; 20.05],numeric__TotalCharges [19.9; 20.05]
6, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , , , , ,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 8.0],numeric__MonthlyCharges [19.65; 20.05],numeric__TotalCharges [20.05; 164.3]
7, , ,categorical__InternetService_No,categorical__PaperlessBilling_No, ,categorical__Contract_Month-to-month, , , , ,categorical__Partner_No, , , , , , ,categorical__gender_Male,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 20.05],numeric__TotalCharges [20.05; 20.05]
8, , ,categorical__InternetService_No, , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1, , , , , ,categorical__PaymentMethod_Mailed check, , ,categorical__Dependents_No, , ,categorical__PhoneService_Yes,numeric__tenure [1.0; 1.0],numeric__MonthlyCharges [20.05; 20.85],numeric__TotalCharges [20.05; 20.85]
9, , , , , ,categorical__Contract_Month-to-month, , , ,categorical__SeniorCitizen_1,categorical__Partner_No, , , , ,categorical__PaymentMethod_Mailed check, ,categorical__gender_Male,categorical__Dependents_No, , , ,numeric__tenure [1.0; 2.0],numeric__MonthlyCharges [20.05; 24.45],numeric__TotalCharges [20.05; 47.5]
