,scale,n_clusters_min,n_clusters_max,k_neighbours_min,k_neighbours_max,len_st_thr,n_cl_max_thr,k_neighb_max_thr,n_edge_clusters_min,n_edge_clusters_max,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Actual N_stages,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,time,AMI,ARI,FMI,score
1472,False,8,11,20,20,[40],[11],[20],8,8,40,20,11,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.23024582862854,0.780546697365249,0.648841952338446,0.725089564789661,1.7728840679658
1964,False,11,14,20,20,[20],[14],[20],8,8,20,20,14,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.231010675430298,0.780546697365249,0.648841952338446,0.725089564789661,1.76701427555579
1506,False,8,11,20,20,[60],[11],[20],8,8,60,20,11,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.231402635574341,0.780546697365249,0.648841952338446,0.725089564789661,1.76402122766654
2418,False,14,17,20,20,[60],[17],[20],8,8,60,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.231761455535889,0.780546697365249,0.648841952338446,0.725089564789661,1.76129011766545
1404,False,8,11,20,20,[0],[11],[20],8,8,0,20,11,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.232452869415283,0.780546697365249,0.648841952338446,0.725089564789661,1.75605129038809
2378,False,14,17,20,20,[20],[17],[20],8,8,20,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.240822792053223,0.780546697365249,0.648841952338446,0.725089564789661,1.69501880536668
2398,False,14,17,20,20,[40],[17],[20],8,8,40,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.245281934738159,0.780546697365249,0.648841952338446,0.725089564789661,1.66420393628613
1937,False,11,14,20,20,[0],[14],[20],8,8,0,20,14,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.246042251586914,0.780546697365249,0.648841952338446,0.725089564789661,1.65906123301317
2018,False,11,14,20,20,[60],[14],[20],8,8,60,20,14,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.246776580810547,0.780546697365249,0.648841952338446,0.725089564789661,1.65412439037115
1991,False,11,14,20,20,[40],[14],[20],8,8,40,20,14,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.247276067733765,0.780546697365249,0.648841952338446,0.725089564789661,1.65078313090379
1438,False,8,11,20,20,[20],[11],[20],8,8,20,20,11,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.263846397399902,0.780546697365249,0.648841952338446,0.725089564789661,1.54710909572296
2358,False,14,17,20,20,[0],[17],[20],8,8,0,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.265124320983887,0.780546697365249,0.648841952338446,0.725089564789661,1.53965188774941
1513,False,8,14,20,20,[60],[14],[20],8,8,60,20,14,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.280752897262573,0.780546697365249,0.648841952338446,0.725089564789661,1.45394460848379
1445,False,8,14,20,20,[20],[14],[20],8,8,20,20,14,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.280946254730225,0.780546697365249,0.648841952338446,0.725089564789661,1.45294395073211
2025,False,11,17,20,20,[60],[17],[20],8,8,60,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.292962551116943,0.780546697365249,0.648841952338446,0.725089564789661,1.39334928554803
1479,False,8,14,20,20,[40],[14],[20],8,8,40,20,14,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.293662786483765,0.780546697365249,0.648841952338446,0.725089564789661,1.39002686100879
1411,False,8,14,20,20,[0],[14],[20],8,8,0,20,14,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.294375658035278,0.780546697365249,0.648841952338446,0.725089564789661,1.38666071785801
1486,False,8,17,20,20,[40],[17],[20],8,8,40,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.313266754150391,0.780546697365249,0.648841952338446,0.725089564789661,1.30304015949026
1418,False,8,17,20,20,[0],[17],[20],8,8,0,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.323035717010498,0.780546697365249,0.648841952338446,0.725089564789661,1.26363476171849
1520,False,8,17,20,20,[60],[17],[20],8,8,60,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.323351860046387,0.780546697365249,0.648841952338446,0.725089564789661,1.26239929849967
1452,False,8,17,20,20,[20],[17],[20],8,8,20,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.327522277832031,0.780546697365249,0.648841952338446,0.725089564789661,1.2463248729006
1998,False,11,17,20,20,[40],[17],[20],8,8,40,20,17,9,Median,"[0, 246, 556, 682, 842, 1046]",5,932.136312709206,2.96942412853241,0.12316045165062,513.507513014082,2.22809569397274,0.408199161291122,470.385558211244,0.972151022104342,0.341876983642578,0.780546697365249,0.648841952338446,0.725089564789661,1.19399427519778
