,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(13.5, 643.5)","(644.5, 1060.5)","(1061.5, 1628.5)","(1629.5, 2028.5)","(2029.5, 2402.5)","(2403.5, 2644.5)","(2645.5, 2750.5)","(2751.5, 3350.5)","(3351.5, 3534.5)","(3535.5, 3971.5)","(3972.5, 4321.5)","(4322.5, 4996.5)"
"Time length, sec",630.0,416.0,567.0,399.0,373.0,241.0,105.0,599.0,183.0,436.0,349.0,674.0
Number of epochs,602,403,541,375,359,233,98,579,177,423,337,631
