thresholds,num_features,explained_variances_reduced,explained_variances_all,fmi_s,silh_15,silh_reduced,silh_all
0.1,3600.0,0.5636917300601164,0.5502280605529395,0.747568522923528,0.190609744684339,0.11299705774341923,0.10837472905081322
0.15,3013.0,0.5772670435646629,0.5451666404308533,0.6595567931631526,0.20350290630112558,0.1267811245317641,0.11511960235261759
0.2,2333.0,0.5959705984951592,0.5324371144386582,0.7411479333515345,0.20333736463745752,0.12532964734671667,0.10723425575983091
0.25,1650.0,0.6200569174080487,0.5073710374921534,0.7816697555948947,0.20201658129375527,0.11830750769088552,0.0979518925461847
0.3,1239.0,0.6506239467335103,0.47941033909536646,0.7909284910792855,0.19059019787384038,0.1148169467611062,0.09337762729278379
0.35,982.0,0.6828684942101906,0.4587891687079793,0.7513739211824703,0.17610841386880488,0.11175473285770071,0.0871341993481699
0.4,758.0,0.7280625532787114,0.4327158649359773,0.6640856467147507,0.16133989585750005,0.10980081470865775,0.0622135771048386
0.45,596.0,0.7616083094822697,0.3967079832491255,0.7301721820541676,0.15810717368055083,0.10808697132303646,0.0623348682460632
0.5,451.0,0.7998929944196908,0.3714247715365128,0.5148610531501365,0.16070432966215797,0.11428493568192338,0.049286752591902364
0.55,334.0,0.8633760981738563,0.3409389107614883,0.5148610531501365,0.16286442863913392,0.12662001637704026,0.049286752591902364
0.6,242.0,0.9073095226078831,0.3142860307762902,0.6517729055923733,0.17495763177056534,0.14898293880163377,0.06669110862021109
0.65,159.0,0.9362404630791579,0.31264661224816914,0.5001551350798482,0.1458313881968164,0.12683803403968352,0.04777816071954458
0.7,105.0,0.9636464779405051,0.2723956643077593,0.5195889178265445,0.16665253733480342,0.15644925381875469,0.07002647652515598
0.75,58.0,0.986010496711353,0.26563820888072004,0.5959983369629042,0.18614498791275536,0.1840562822516828,0.06728949050511941
0.8,34.0,0.9960586661705787,0.21721676488875152,0.5959175123315065,0.18320702857514415,0.18230136962006624,0.06763731480168542
0.85,25.0,0.9989770546222602,0.20466666183811186,0.5586668365585601,0.16206478481220202,0.16184487901649577,0.06782245074698687
0.9,23.0,0.9997270861930178,0.2045748351018861,0.5257978751643819,0.18038041974991248,0.18031360651890124,0.06458216465808231
