Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.8435,0.9816087222222221,0.8407294360288511,0.8435,0.8408820140272327,0.9401,0.9698,0.9891,0.9961,0.9995
0.8551,0.9837032000000001,0.8519926022499502,0.8551,0.8519982340655974,0.9446,0.973,0.9912,0.9971,0.9998
0.8624,0.9845802277777779,0.8608195581880308,0.8624,0.8608773930513545,0.9477,0.9756,0.9929,0.9979,0.9998
0.8641,0.9853030444444446,0.8623294959176857,0.8641,0.862294211153961,0.9481,0.9777,0.9947,0.9984,0.9996
0.8646,0.9852780333333334,0.8658895433933902,0.8645999999999999,0.8638485006421865,0.952,0.9785,0.9944,0.999,0.9996
0.8662,0.9860865388888889,0.8660901147915194,0.8661999999999999,0.8635919469126488,0.9502,0.978,0.9944,0.9987,0.9996
0.868,0.9866127944444445,0.8668056661107363,0.868,0.8664454925022047,0.9502,0.9792,0.9941,0.9983,0.9998
0.8695,0.9866502777777776,0.8688472162087058,0.8695,0.8679754970699779,0.9514,0.9783,0.9952,0.9986,0.9998
0.8719,0.9869851833333332,0.8705032391461985,0.8718999999999999,0.8700894201173168,0.9521,0.9795,0.9953,0.9988,0.9998
0.8714,0.987191561111111,0.8688382886474143,0.8713999999999998,0.868607155688036,0.9496,0.978,0.9943,0.999,0.9998
