Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.8731,0.9870680166666669,0.8720499604032991,0.8731,0.8715285742778762,0.9554,0.9833,0.9957,0.9991,0.9996
0.8857,0.9887757111111111,0.8844774129109532,0.8856999999999999,0.8843288576928444,0.9618,0.986,0.997,0.9992,0.9998
0.8907,0.9892536222222222,0.8899103938667405,0.8907,0.8894803942735431,0.9649,0.9878,0.9974,0.9993,0.9997
0.8927,0.9897838333333333,0.892218841026686,0.8926999999999999,0.8920009873999524,0.9656,0.9882,0.9976,0.9993,0.9998
0.8936,0.9899760555555557,0.8945049810114745,0.8936,0.893564242134849,0.968,0.9889,0.9977,0.9994,0.9998
0.895,0.9902857722222222,0.8964717091051811,0.8949999999999999,0.8955006816375208,0.9697,0.9889,0.9978,0.9996,0.9998
0.8968,0.9907384777777777,0.8960300268762419,0.8968,0.8958670665812007,0.9702,0.9889,0.9978,0.9996,0.9998
0.8977,0.9907700777777778,0.8972248417128377,0.8976999999999998,0.8968407667928722,0.9696,0.9881,0.9979,0.9994,0.9998
0.9004,0.9911410277777779,0.899954806241551,0.9004,0.8999066128974599,0.9704,0.9897,0.9982,0.9996,0.9998
0.9025,0.9913238111111111,0.9015321333853775,0.9025000000000001,0.901729148105589,0.9694,0.989,0.9981,0.9996,0.9999
