,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(10.5, 197.5)","(198.5, 434.5)","(436.5, 618.5)","(619.5, 859.5)","(860.5, 1240.5)","(1242.5, 1502.5)","(1503.5, 1750.5)","(1752.5, 2044.5)","(2045.5, 2169.5)","(2170.5, 2345.5)"
"Time length, sec",187.0,236.0,182.0,240.0,380.0,260.0,247.0,292.0,124.0,175.0
Number of epochs,167,203,156,202,324,223,214,257,111,160
