,St_len_min,K_nb_max,N_cl_max,N_stages,Cl_cen,St_edges,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
43,20,35,20,3,Mode,"[0, 244, 681, 1046]",1259.4339854378732,2.32097319019176,0.05269098809849777,136.8283305768975,5.987009820910838,0.1423514113961799,131.61632256444977,4.806914193918226,0.6158827754066645,0.40375809785581857,0.5780419169751446
10,0,40,10,4,Mode,"[0, 244, 566, 842, 1046]",686.4909662000932,1.7406480483407678,0.02469028027569753,93.54878365499762,6.621793034171612,0.09597646982406143,72.51174156159219,5.806745741155354,0.7064283043333827,0.5533138841473769,0.6620692968522668
115,60,35,20,5,Mode,"[0, 244, 554, 681, 842, 1046]",898.8848728701436,2.9018198201081393,0.012764968653937296,98.57965304896669,4.270419748520745,0.17126346063585907,102.86996668045718,1.9483048491109485,0.7732648650494588,0.6427461545899752,0.7197785376930803
1,0,35,10,6,Mode,"[0, 39, 244, 566, 681, 842, 1046]",707.813605405988,3.1042807345761343,0.006092609143793378,98.0649271594357,3.9335445316896336,0.18946363996657264,84.65185351664302,1.866343250343542,0.8014759201085957,0.6651863139242451,0.7341363404314405
33,0,50,20,7,Median,"[0, 39, 244, 543, 681, 842, 976, 1046]",674.8268518016691,3.114943724476435,0.009311732538712926,91.10480955841548,5.779784929854224,0.19500212769494518,79.9190728268459,1.8139249628180887,0.8395676786241849,0.7319833647530009,0.7805800586901963
49,20,40,15,8,Mode,"[0, 39, 244, 493, 566, 681, 842, 976, 1046]",555.9061774717313,2.887259351609375,-0.0019378958174483948,80.66357920667875,5.184002699996665,0.17949996547201072,65.98168155032474,2.070763655995226,0.8863624816328205,0.8141487052115658,0.8428825130731452
54,20,45,10,9,Median,"[0, 39, 244, 345, 493, 566, 682, 842, 975, 1046]",411.0198171281427,2.583248983216195,-0.027387214563562533,71.24476637546339,5.303595522804715,0.14879502117784954,47.88433567855829,2.4882494429988045,0.8702025544878998,0.7719242767903736,0.8042714502978374
52,20,40,20,10,Mode,"[0, 38, 104, 199, 244, 493, 566, 681, 842, 976, 1046]",323.09734484265573,2.4914705888699626,-0.02493829570426602,68.22929903269231,4.824871925525913,0.1414936623918001,38.91038261290575,2.273899047926436,0.8393339531944467,0.6974077821090111,0.7399403032476274
7,0,35,20,11,Mode,"[0, 39, 104, 244, 345, 493, 566, 681, 789, 842, 975, 1046]",245.57050728213022,2.2000330431870965,-0.045185924101937676,61.10580755620921,5.178934950631144,0.11745542543874268,30.079366535850102,2.8033033828259866,0.8603469117669438,0.7165743142924017,0.7615974495067042
15,0,40,20,12,Median,"[0, 38, 104, 199, 244, 345, 493, 566, 681, 780, 855, 976, 1046]",229.75976379181665,2.209594073109197,-0.04632031607680327,58.174278017135755,5.205573577009134,0.12112449922076741,28.542962680896608,2.802110524520008,0.8593609456521148,0.6913325428515885,0.7440823222059991
16,0,40,20,13,Mode,"[0, 38, 104, 199, 244, 345, 493, 566, 681, 780, 842, 887, 976, 1046]",190.35399766733352,2.0817152733217377,-0.04922477282013587,53.164279799068815,5.2406133989553245,0.1101222604615592,24.08711956591608,3.0335418977378894,0.8372218339701949,0.6534633178757984,0.713540535406284
28,0,50,10,14,Mode,"[0, 39, 76, 186, 244, 345, 493, 566, 609, 681, 710, 789, 842, 975, 1046]",135.37371208857618,1.9653023861339491,-0.07557866497667791,48.846266181003074,5.263471720017739,0.0942251817725382,16.759209428609058,3.043469290003416,0.8211604029600842,0.6256134238329301,0.6882582450676743
28,0,50,10,15,Mode,"[0, 39, 76, 186, 244, 345, 493, 566, 609, 681, 710, 789, 842, 887, 975, 1046]",117.51009294659876,1.8782770371210193,-0.07550092819649636,45.71859792355639,5.1579949306276776,0.08832930872941021,14.78418020472237,3.2549122805751884,0.8138071912336139,0.6039724249815286,0.6739039580003526
133,60,45,20,16,Mode,"[0, 90, 104, 186, 244, 345, 493, 522, 554, 566, 681, 710, 800, 842, 855, 976, 1046]",81.03319895314628,1.6647728660229053,-0.0906596693730735,40.32870670396577,6.309498275319852,0.06741323000083099,9.913439937723885,3.6899634307304177,0.8030041347228559,0.6147119518385068,0.6777868179698489
