,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(10.5, 55.5)","(58.5, 539.5)","(540.5, 577.5)","(578.5, 853.5)","(854.5, 929.5)","(930.5, 1240.5)","(1242.5, 1415.5)","(1416.5, 1716.5)","(1718.5, 2017.5)","(2018.5, 2345.5)"
"Time length, sec",45.0,481.0,37.0,275.0,75.0,310.0,173.0,300.0,299.0,327.0
Number of epochs,40,420,34,228,62,268,148,261,262,294
