Accuracy,AUC-ROC,Precision,Recall,F1-score,TOP-2 Accuracy,TOP-3 Accuracy,TOP-5 Accuracy,TOP-7 Accuracy,TOP-9 Accuracy
0.9569,0.9985047452749359,0.9562286404666492,0.9560880600495189,0.9561204985918674,0.9889,0.9965,0.9993,0.9999,1.0
0.9654,0.99896127523688,0.9647101959852993,0.964857378115,0.9647363037921576,0.9912,0.9975,0.9996,0.9999,1.0
0.9675,0.9991242736890708,0.9667287125036091,0.9671390795321784,0.9668536897601452,0.9923,0.9984,0.9996,1.0,1.0
0.9701,0.9992635849579712,0.9696752464922769,0.9693617108764606,0.9694709029971333,0.993,0.9984,0.9998,0.9999,1.0
0.9718,0.9993166898086533,0.9712899381851272,0.9712340281706078,0.9712448767091081,0.9933,0.9984,0.9997,0.9999,1.0
0.9723,0.9993417464208308,0.9716503077365065,0.9720667626349403,0.9717733846520155,0.9938,0.9983,0.9998,1.0,1.0
0.9742,0.9994043463590782,0.9737000708435752,0.9738224218567002,0.9737200148174667,0.9944,0.9984,0.9998,0.9999,1.0
0.9749,0.999457958222399,0.9744709011415607,0.9745115122788153,0.9744635253587184,0.9945,0.9987,0.9998,0.9999,1.0
0.9733,0.9994334168555021,0.9727403877849445,0.9731465650969418,0.9727993925072365,0.9944,0.9987,0.9997,0.9999,1.0
0.9745,0.9994787798892899,0.9742432431395127,0.9740704951293784,0.9740963415027762,0.9944,0.9985,0.9999,0.9999,1.0
