,0,1,2,3,4,5,6
"Start-end time, sec","(9.5, 110.5)","(111.5, 214.5)","(215.5, 417.5)","(418.5, 478.5)","(479.5, 678.5)","(679.5, 780.5)","(781.5, 1055.5)"
"Time length, sec",101.0,103.0,202.0,60.0,199.0,101.0,274.0
Number of epochs,100,96,196,57,189,98,261
