,0,1,2,3,4,5,6,7,8,9
"Start-end time, sec","(8.5, 182.5)","(183.5, 498.5)","(499.5, 925.5)","(926.5, 1062.5)","(1063.5, 1546.5)","(1547.5, 1888.5)","(1889.5, 2089.5)","(2090.5, 2166.5)","(2167.5, 2783.5)","(2784.5, 3016.5)"
"Time length, sec",174.0,315.0,426.0,136.0,483.0,341.0,200.0,76.0,616.0,232.0
Number of epochs,161,291,395,135,444,316,190,71,599,222
