,0,1,2,3,4,5,6,7,8
"Start-end time, sec","(9.9, 118.7)","(119.5, 217.1)","(217.9, 283.5)","(284.3, 508.3)","(509.1, 620.3)","(621.1, 722.7)","(723.5, 770.7)","(771.5, 877.1)","(877.9, 938.7)"
"Time length, sec",108.8,97.6,65.6,224.0,111.19999999999993,101.60000000000002,47.200000000000045,105.60000000000002,60.80000000000007
Number of epochs,124,108,72,252,126,118,56,120,70
