,0,1,2,3,4,5,6,7
"Start-end time, sec","(11.5, 90.5)","(91.5, 190.5)","(191.5, 343.5)","(344.5, 500.5)","(501.5, 632.5)","(633.5, 1065.5)","(1066.5, 1433.5)","(1434.5, 1486.5)"
"Time length, sec",79.0,99.0,152.0,156.0,131.0,432.0,367.0,52.0
Number of epochs,79,98,148,155,128,416,355,48
