,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 110.5)","(111.5, 155.5)","(156.5, 282.5)","(283.5, 359.5)","(360.5, 514.5)","(515.5, 620.5)","(621.5, 683.5)","(684.5, 993.5)","(994.5, 1166.5)","(1167.5, 1259.5)","(1260.5, 1334.5)"
"Time length, sec",105.0,44.0,126.0,76.0,154.0,105.0,62.0,309.0,172.0,92.0,74.0
Number of epochs,100,44,123,74,147,94,62,298,163,85,74
