,0,1,2,3,4,5,6
"Start-end time, sec","(9.5, 144.5)","(145.5, 293.5)","(294.5, 515.5)","(516.5, 756.5)","(757.5, 818.5)","(819.5, 915.5)","(916.5, 1055.5)"
"Time length, sec",135.0,148.0,221.0,240.0,61.0,96.0,139.0
Number of epochs,133,140,211,230,59,90,134
