,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 377.5)","(378.5, 730.5)","(731.5, 1357.5)","(1358.5, 1538.5)","(1539.5, 2174.5)","(2175.5, 2606.5)","(2607.5, 2987.5)"
"Time length, sec",372.0,352.0,626.0,180.0,635.0,431.0,380.0
Number of epochs,344,330,584,162,586,393,360
