,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(13.5, 496.5)","(497.5, 1066.5)","(1067.5, 1243.5)","(1244.5, 1815.5)","(1816.5, 2093.5)","(2094.5, 2600.5)","(2601.5, 2814.5)","(2815.5, 3085.5)","(3086.5, 3612.5)","(3613.5, 3761.5)","(3762.5, 4465.5)","(4466.5, 4996.5)"
"Time length, sec",483.0,569.0,176.0,571.0,277.0,506.0,213.0,270.0,526.0,148.0,703.0,530.0
Number of epochs,461,550,169,544,259,488,202,260,509,146,675,495
