,0,1,2,3,4,5,6
"Start-end time, sec","(5.5, 447.5)","(448.5, 901.5)","(902.5, 1287.5)","(1288.5, 1866.5)","(1867.5, 2186.5)","(2187.5, 2611.5)","(2612.5, 2987.5)"
"Time length, sec",442.0,453.0,385.0,578.0,319.0,424.0,375.0
Number of epochs,409,422,359,536,291,387,355
