,0,1,2,3,4,5,6,7,8,9,10,11
"Start-end time, sec","(5.5, 597.5)","(598.5, 956.5)","(957.5, 1297.5)","(1298.5, 1445.5)","(1446.5, 1536.5)","(1537.5, 1874.5)","(1875.5, 2094.5)","(2095.5, 2359.5)","(2360.5, 2530.5)","(2531.5, 3053.5)","(3054.5, 3359.5)","(3360.5, 3562.5)"
"Time length, sec",592.0,358.0,340.0,147.0,90.0,337.0,219.0,264.0,170.0,522.0,305.0,202.0
Number of epochs,560,341,325,137,86,327,198,249,157,487,291,195
