,0,1,2,3,4,5,6,7,8,9,10
"Start-end time, sec","(5.5, 117.5)","(118.5, 297.5)","(298.5, 512.5)","(513.5, 873.5)","(874.5, 1340.5)","(1341.5, 1597.5)","(1598.5, 1859.5)","(1860.5, 2120.5)","(2121.5, 2449.5)","(2450.5, 2550.5)","(2551.5, 2699.5)"
"Time length, sec",112.0,179.0,214.0,360.0,466.0,256.0,261.0,260.0,328.0,100.0,148.0
Number of epochs,109,170,201,340,444,243,253,250,308,95,141
